bus_id,Pg,Qg
50140,34,-53.089
50141,149,4.87697
50145,99,-1.97266
50147,96,-16.0434
50147,44,-18.7278
50151,85,-24.4999
50152,12.04,25.7746
50152,12.04,25.7746
50153,81.6,-6.17257
50155,77,16.7387
50156,8.4,-2.8
50156,8.4,-2.8
50156,8.4,-2.8
50157,71.2,12.6868
50157,71.2,12.6868
50157,72.4,13.0226
50159,69,-16.6911
50160,54,-18
50160,54,-18
50160,54,-18
50160,54,-18
50160,110,-57.1
50160,110,-57.1
50160,110,-57.1
50163,50,-8.27772
50164,50,-0.776091
50165,403,90.8408
50166,48,-11.6191
50166,23,-35.4267
50168,43.7,0.235591
50169,40,-13.3
50171,38.9,-30
50172,26.5,19.7669
50186,180,-60
50187,67,-42.3791
50189,34,-24.9797
50192,32,-58.969
50192,32,-58.969
50192,32,-63.269
50192,32,-63.269
50192,32,-63.269
50193,43,-45.2
50194,62.4,-6.09752
50197,64,-19.049
50200,40.5,-7.83016
50207,681.3,-227.1
50207,681.3,-227.1
50208,738,-56.3079
50209,502,-167.3
50212,81,-19.1796
50213,93.9,-0.65669
50213,76.6,1.31734
50213,76.6,1.31734
50215,217.6,165.816
50216,72.4,2.31294
50216,95.4,10.3956
50216,95.4,10.3956
50219,63.4,-10.8225
50219,63.4,-10.8225
50219,54.4,-8.0716
50219,24.9,0.396118
50220,28.2,5.27887
50220,60.5,15.6537
50220,60.5,15.6537
50220,60.5,15.6537
50221,60,3.60691
50222,59.4,-78.339
50224,42.1338,-12.7879
50225,55.4,24.3679
50225,55.4,24.3679
50225,58.9,30.1824
50225,58.9,30.1824
50225,105.6,44.8807
50226,50,-16.4
50227,15.2,-5
50227,15.2,-5
50228,13.1,-4.35
50228,13.1,-4.35
50230,22.5,-7.5
50232,22,-7.3
50233,22,-7.3
50234,2.725,-0.912
50234,2.725,-0.912
50234,2.725,-0.912
50238,173,9.66521
50238,572,-39.623
50239,569,-189.7
50241,170,39.5826
50241,178.5,42.2629
50241,177.068,42.2629
50241,473,111.103
50241,473,111.103
50243,159.5,98.8
50243,159.5,98.8
50243,198.9,123.3
50243,198.9,123.3
50244,183.9,18.4847
50244,183.9,18.4847
50244,183.9,18.4847
50244,183.9,18.4847
50244,317.2,37.8994
50244,317.2,37.8994
50245,179.3,27.8973
50245,179.3,27.8973
50245,179.3,27.8973
50245,122,18.4906
50245,122,18.4906
50245,122,18.4906
50246,176.6,62.1982
50246,176.6,62.1982
50246,198.1,72.9802
50248,175.421,43.3465
50248,176,43.3465
50248,176,43.3465
50248,176,43.3465
50248,255,72.7495
50248,255,72.7495
50252,54,19.1917
50253,72,-11.5997
50254,55,-13.8396
50256,99,1.04365
50257,99.2,-52.301
50257,98.9,-52.201
50258,170,67.1418
50258,170,67.1418
50259,44.5,-20.6947
50260,84,2.76396
50260,86.5,18.4795
50260,86.5,18.4795
50260,315,74.8154
50261,86.5,53.6
50261,86.5,53.6
50262,85,-24.7812
50262,85,-24.7812
50262,120,-36.378
50264,45,12.5601
50264,45,12.5601
50264,45,12.5601
50264,50,14.5656
50265,84.5,24.6186
50265,84.5,24.6186
50265,84.5,24.6186
50265,84.5,24.6186
50267,49.9,14.727
50267,72.5,25.627
50272,125,-6.88061
50272,135,-8.78715
50272,45,2.49189
50273,45,13.4893
50273,45,13.4893
50274,11.2,4.91909
50274,11.2,4.91909
50277,40.5,13.5129
50277,106.5,42.5269
50278,19.5,6.33661
50278,19.5,6.33661
50279,37,6.08013
50280,35,17.3658
50280,35,17.3658
50281,32.1,-0.42982
50281,32.1,-0.42982
50281,32.1,1.94346
50282,30,2.36769
50282,30,2.36769
50283,27.5,11.0315
50283,27.5,11.0315
50283,27.5,11.0315
50283,27.5,11.0315
50287,23,1.61102
50287,567,5.71296
50290,20,2.9243
50290,20,2.9243
50291,456,56.658
50293,119.7,13.8777
50293,119.7,13.8777
50293,90,35.7717
50294,112,-36.8
50294,112,-36.8
50294,112,-36.8
50294,112,-36.8
50294,112,-36.8
50294,112,-36.8
50294,112,-36.8
50296,93.5,-3.74648
50296,95,-3.95225
50297,67.5,-7.45604
50297,67.5,-7.45604
50298,67.5,-14.4586
50299,58.5,-29.2
50299,58.5,-29.2
50299,58.5,-29.2
50299,58.5,-29.2
50299,58.5,-29.2
50299,67.2,-32.1
50300,51,-20.2
50301,50.4,3.0082
50302,42.9,1.906
50303,40.5,-10.1137
50304,40,-13.1
50304,40,-13.1
50304,40,-13.1
50304,40,-13.1
50304,40,-13.1
50304,40,-13.1
50304,40,-13.1
50304,40,-13.1
50305,40,-13.3
50306,1.7,-6.97341
50308,25,0.0725013
50310,1100,-118.328
50311,1100,-169.677
50312,916.8,-267.4
50313,893,50.4018
50313,956.8,73.9642
50314,793.2,-187.942
50317,720,-240
50319,622.4,-38.9435
50320,30,16.5974
50320,154.416,16.5974
50320,575,-21.0139
50320,600,-42.6622
50320,600,-42.6622
50320,258.423,17.5997
50320,590,-13.3706
50320,620,-18.4989
50326,566,-66.9258
50329,453.5,-167.571
50332,446,-53.8925
50334,410,-176.063
50335,455,65.1506
50335,455,65.1506
50335,404.8,156.228
50339,283.2,-94.4
50341,271.4,48.7349
50341,104.658,48.7349
50342,267,-45.6461
50342,239.374,-45.6461
50342,250.925,-45.6461
50343,79,-75
50344,247.7,-82.6
50344,387,-129
50345,247.5,-82.5
50345,247.5,-82.5
50347,231.276,-51.1734
50347,242,-45.3463
50347,240.114,-45.3463
50350,387.437,50.1627
50350,340.905,35.3592
50351,239.3,148.3
50353,223.482,101.979
50353,215,45.2904
50353,215,45.2904
50355,89.4976,4.84251
50355,210,17.3048
50355,214.8,17.4411
50355,214.8,17.4411
50365,198.9,-8.61104
50365,580.5,-97.0174
50365,396,-48.0794
50367,159.5,4.48958
50367,159.5,4.48958
50367,120.925,4.48958
50367,159.5,4.48958
50367,198.9,1.09336
50367,198.9,1.09336
50367,198.9,1.09336
50367,198.9,1.09336
50368,51.4,13.8332
50368,51.4,20.0759
50368,51.4,20.0759
50368,51.4,20.0759
50368,51.4,20.0759
50369,56,-16.9875
50370,180,17.6092
50371,204,126.4
50372,149.9,20.338
50372,192.1,25.6637
50372,192.1,25.6637
50372,192.1,25.6637
50372,192.1,25.6637
50376,242.3,-38.2579
50376,188.2,-23.6412
50378,107.48,-7.78944
50378,120.956,-7.78944
50378,90,-7.78944
50378,304.105,-48.2265
50379,155.595,-50.64
50379,183.2,-50.64
50379,145.759,-50.64
50379,390,-118.413
50380,180,12.7354
50380,297.825,-8.42116
50380,351,-8.42116
50381,180,114.809
50381,180,114.809
50381,180,114.809
50381,180,114.809
50381,245.138,136.909
50382,180,79.6436
50382,80,28.0743
50383,32,-26.8364
50385,178.5,9.83499
50385,178.5,9.83499
50385,178.5,9.83499
