bus_id,Vm,Va_deg
1,1.02241,-25.5581
2,1.02928,-25.1898
3,1.03027,-24.6089
4,1.06,-20.8087
5,1.05807,-20.2789
6,1.05194,-23.2783
7,1.04734,-23.8209
8,1.04597,-14.8688
9,1.06,-7.032
10,1.0556,1.34792
11,1.04046,-23.5625
12,1.04135,-24.3764
13,1.02971,-24.6173
14,1.04197,-24.7261
15,1.0467,-24.1673
16,1.03997,-24.1549
17,1.06,-21.4936
18,1.05105,-23.6983
19,1.04608,-24.2849
20,1.03367,-23.1252
21,1.02866,-21.4483
22,1.03257,-18.8598
23,1.05031,-13.8873
24,1.05204,-13.3336
25,1.06,-7.74163
26,1.02832,-3.71273
27,1.04154,-19.6266
28,1.03237,-21.0234
29,1.02997,-21.7707
30,1.03035,-16.6517
31,1.03207,-21.6198
32,1.04185,-20.112
33,1.04514,-24.8519
34,1.05647,-24.4836
35,1.05444,-24.8964
36,1.05482,-24.9079
37,1.06,-24.0455
38,1.01848,-19.3099
39,1.02719,-27.1924
40,1.0195,-28.2529
41,1.00789,-28.6981
42,1.00119,-27.2883
43,1.02752,-24.6651
44,1.00033,-22.5306
45,0.9891,-20.8011
46,0.999641,-17.7692
47,1.0039,-14.9914
48,1.00749,-16.7182
49,1.00986,-15.7993
50,1.00432,-17.5753
51,0.993109,-19.7685
52,0.988935,-20.5917
53,0.992698,-21.2072
54,1.01121,-20.1586
55,1.01271,-20.3537
56,1.01152,-20.2219
57,1.0058,-19.497
58,0.998816,-20.2398
59,1.06,-15.1783
60,1.05751,-13.5178
61,1.06,-12.7118
62,1.0541,-13.9885
63,1.03506,-13.3926
64,1.0446,-12.4517
65,1.05146,-10.7124
66,1.06,-13.6696
67,1.05201,-14.5778
68,1.0495,-6.97988
69,1.03751,1.26509e-28
70,1.018,-8.41589
71,1.02157,-9.09722
72,1.03447,-11.7821
73,1.02192,-9.25596
74,0.995427,-8.68451
75,0.998842,-7.20532
76,0.984388,-7.83665
77,1.03192,-2.17112
78,1.02783,-2.41253
79,1.03033,-2.04679
80,1.05084,0.361438
81,1.02958,-4.20402
82,1.02637,-0.104014
83,1.03007,0.766864
84,1.03626,2.68392
85,1.04602,3.89374
86,1.04015,2.50902
87,1.05484,2.39862
88,1.04578,6.67314
89,1.06,10.3021
90,1.04115,5.12752
91,1.045,5.7302
92,1.04931,7.40138
93,1.03655,5.89323
94,1.03196,4.98259
95,1.01818,3.00846
96,1.02455,1.48718
97,1.03318,0.598363
98,1.04386,2.47146
99,1.05602,5.25465
100,1.06,9.02602
101,1.04347,7.54324
102,1.04676,7.35354
103,1.04145,4.88603
104,1.03532,2.04688
105,1.033,0.828178
106,1.02699,0.844635
107,1.02621,-1.80927
108,1.02447,-0.808418
109,1.02139,-1.4524
110,1.01705,-2.85637
111,1.01998,-2.90445
112,1.00338,-5.3889
113,1.0573,-21.4005
114,1.03719,-20.3927
115,1.03678,-20.3987
116,1.06,-7.41467
117,1.02629,-25.7698
118,0.985877,-7.93079
