bus_id,Pg,Qg
1,0,15
4,0,71.0656
6,0,46.7093
8,0,-4.86595
10,505,-86.3246
12,-9.99987e-07,43
15,0,30
18,0,41.3922
19,0,24
24,0,9.26779
25,77.9691,-47
26,485,-6.13183
27,0,32.0979
31,17,9
32,0,35.8366
34,0,8.22045
36,0,23.9882
40,0,38.7052
42,0,22.2986
46,20,-0.543904
49,223,-85
54,53,27
55,0,23
56,0,15
59,308,108.764
61,195,-11.252
62,0,1.50498
65,-9.99769e-07,200
66,-9.99337e-07,-67
69,831.976,-256.097
70,0,32
72,0,-3.04177
73,0,1.32885
74,0,9
76,0,23
77,0,70
80,509,-28.516
85,0,23
87,-9.99846e-07,5
89,471.464,-8.76028
90,0,45.9739
91,0,1.81736
92,0,9
99,0,7.52934
100,653,8.8985
103,31.2765,9.93681
104,0,23
105,0,23
107,0,12.1808
110,0,23
111,-9.99741e-07,2.917
112,0,16.2428
113,0,-2.79391
116,0,281.951
