bus_id,Vm,Va_deg
1,1.01697,-0.324804
2,0.989284,3.6531
3,1.07051,-15.0828
4,1.02195,-3.32887
5,1.02206,-3.33882
6,1.0415,-8.06865
7,1.04134,-8.05992
8,1.04219,-4.80368
9,1.04205,-4.7984
10,1.07233,-9.01976
11,1.07245,-9.02374
12,1.07205,-9.00239
13,1.05,-4.28447
14,1.05,-4.27907
15,1.05,-6.02872
16,1.05,-6.02872
17,1.09657,-11.1855
18,1.09658,-11.1887
19,1.01961,-2.61189
20,1.01957,-2.60917
21,1.06337,-11.9175
22,1.06337,-11.9175
23,1.06196,-8.5386
24,0.994915,-0.176086
25,1.04696,-9.95955
26,1.02163,-0.114075
27,0.989632,3.99898
28,1.04763,0.811792
29,1.04758,0.820582
30,1.06585,-10.832
31,1.05,-0.820972
32,1.07304,-9.19632
33,0.994927,-0.175125
34,1.04155,-6.73506
35,0.994936,-4.18401
36,0.96911,-7.60092
37,0.970621,-6.27918
38,0.970596,-6.28487
39,0.968162,-5.23726
40,0.969225,-6.59573
41,0.969236,-6.60842
42,1.05,-6.16193
43,1.02805,-2.02443
44,1.02848,-2.00484
45,1,-4.63977e-09
46,1.00034,-0.0114747
47,0.964908,-7.10427
48,0.99743,-9.91919
49,0.99737,-9.92567
50,1.02033,-1.2893
51,0.972627,-4.32389
52,0.972549,-4.31936
53,1.01864,-4.1008
54,1.01866,-4.11038
55,0.968727,-5.74277
56,0.968737,-5.73993
57,1.02295,-5.57442
58,1.02292,-5.57446
59,1.01321,-3.61883
60,1.01322,-3.61306
61,0.965991,-7.27309
62,1.01028,-4.22319
63,1.01034,-4.2183
64,1.01739,-7.34515
65,1.01729,-7.35688
66,0.974497,-6.17143
67,0.976148,-6.00006
68,0.966006,-3.4596
69,0.9862,-5.0091
70,0.965144,-9.24687
71,0.964979,-9.25262
72,1.00219,-11.9874
73,1.00215,-11.9635
74,0.997046,-9.66398
75,0.996973,-9.66729
76,0.9968,-17.4634
77,0.996785,-17.4804
78,1.00158,-10.3278
79,0.991483,-10.7909
80,1.00186,-11.5542
81,1.00185,-11.5557
82,1.04041,-4.91148
83,0.980377,-9.02898
84,1.01185,-10.5361
85,1.01186,-10.5411
86,0.986772,-5.17793
87,0.98676,-5.18654
88,0.990308,-9.39769
89,0.990293,-9.40409
90,0.989259,-4.52974
91,0.9892,-4.52204
92,1.04657,-2.14113
93,1.04657,-2.1434
94,1.00598,-9.22355
95,1.00627,-9.23356
96,0.993146,-9.6057
97,0.993087,-9.60306
98,0.984481,-9.80469
99,0.98443,-9.7944
100,0.965177,-9.21964
101,0.965182,-9.22632
102,0.997197,-16.6613
103,0.997205,-16.6477
104,1.01802,-10.1467
105,1.01795,-10.1555
106,0.997012,-8.57561
107,0.99697,-8.57185
108,0.979181,-8.59373
109,0.979178,-8.60627
110,0.972851,-11.1241
111,1.00428,-11.0254
112,1.00428,-11.0281
113,1.0009,-11.6548
114,1.0009,-11.6451
115,1.04567,-5.95332
116,0.987919,-10.2071
117,0.987962,-10.1965
118,0.983525,-10.6439
119,0.983489,-10.6477
120,1.03133,-6.73531
121,1.03138,-6.72904
122,1.04654,-5.1202
123,1.04655,-5.11208
124,0.973482,-11.1335
125,1.01054,-9.02381
126,1.01055,-9.03919
127,1.04646,-5.7224
128,1.04651,-5.73056
129,0.98639,-5.35758
130,0.986435,-5.35841
131,0.988156,-5.1694
132,0.998244,-18.4712
133,0.995962,-18.4556
134,1.06151,-8.72928
135,1.06135,-8.73538
136,1.00481,-12.7162
137,1.0167,-11.8948
138,1.05,-9.7163
139,1.05,-9.71519
140,0.977074,-15.704
141,0.992996,-9.33008
142,0.992996,-9.33008
143,1.00057,-12.2268
144,1.00365,-11.5923
145,1.00365,-11.5923
146,1.06278,-11.8826
147,1.0626,-11.8893
148,0.997946,-8.26524
149,0.997816,-8.30876
150,1.05,-14.0607
151,1.04999,-14.0744
152,0.958263,-16.4326
153,0.990325,-14.3082
154,0.990376,-14.2961
155,1.03682,-9.5792
156,0.999739,-8.79386
157,1.03682,-9.5792
158,1.05,-8.55073
159,1.04996,-8.54636
160,0.995509,-9.43496
161,0.995509,-9.43496
162,1.04972,-9.59745
163,1.04926,-8.77208
164,1.04927,-8.77558
165,1.06373,-12.1144
166,1.06353,-12.1271
167,1.0637,-12.1157
168,0.984651,-21.21
169,0.989865,-9.42264
170,0.950244,-16.2225
171,0.950601,-16.2266
172,1.05,-15.9936
173,1.05,-15.9936
174,0.972867,-15.3353
175,0.972913,-15.3358
176,0.950339,-16.5376
177,1.00412,-12.1447
178,1.00405,-12.1405
179,0.995968,-11.8953
180,0.995968,-11.8953
181,0.972324,-15.9677
182,1.02972,-18.6929
183,1.00904,-22.7379
184,1.04998,-21.5485
185,1.05,-21.5381
186,1.03921,-25.4173
187,1.03921,-25.4247
188,1.00821,-24.438
189,1.00828,-24.4406
190,0.999042,-19.93
191,0.999082,-19.9298
192,1.05,-18.8122
193,1.02804,-18.2419
194,1.02798,-18.2384
195,1.04999,-24.9181
196,1.05,-24.9167
197,1.01916,-19.4421
198,1.01927,-19.434
199,1.02467,-23.5573
200,1.02463,-23.5413
201,0.998391,-20.3004
202,0.998428,-20.2965
203,1.01571,-18.3297
204,1.01561,-18.3425
205,1.02679,-27.351
206,1.02683,-27.3502
207,1.06002,-24.56
208,1.06027,-24.5609
209,1.01579,-10.659
210,1.01128,-19.7349
211,1.00558,-9.89205
212,0.95,-13.1358
213,0.994146,0.455644
214,0.954682,-2.30909
215,1.01546,-8.1519
216,1.00989,-8.29477
217,1.01114,-8.27292
218,1.01548,-8.50492
219,1.03027,-13.7204
220,1.00335,-11.247
221,1.01262,-13.4914
222,0.986627,-8.19482
223,1.05678,-13.1144
224,1.00706,-1.69075
225,0.993198,-15.5962
226,1.03529,-15.8603
227,1.00494,-9.5086
228,1.04184,-13.6688
229,1.01865,-6.81361
230,1.0193,-6.81722
231,1.05431,-13.3002
232,0.955832,-2.17503
233,0.981936,-7.92289
234,0.960567,-0.326175
235,1.01551,-16.1017
236,1.00833,-5.93615
237,1.01651,-16.1367
238,1.04036,-12.7765
239,1.0134,-13.219
240,0.983191,-20.4045
241,1.01697,-6.09792
242,0.987153,-4.45175
243,0.987164,-4.42193
244,1.1183,-11.33
245,0.988994,2.05856
246,1.025,5.50258
247,1.01856,-16.9849
248,1.03258,-17.8771
249,1.02677,-15.9893
250,0.989962,-21.3244
251,1.01971,-13.2577
252,1.05415,-7.16023
253,1.04966,-13.5566
254,1.00427,-21.4183
255,1.01793,-14.9175
256,1.02036,-15.1655
257,0.975929,0.714215
258,0.97586,0.701907
259,1.01107,-7.4696
260,0.987615,-21.7632
261,1.024,-10.3755
262,1.03308,-10.0841
263,1.00955,-17.4094
264,0.983266,1.65047
265,0.951946,-1.87912
266,1.06382,-12.7729
267,1.05488,-14.3831
268,1.01336,-13.064
269,1.00513,-9.5519
270,0.992058,-20.8797
271,0.995572,-10.5848
272,1.0224,-13.0589
273,1.01973,-9.489
274,1.00787,-10.0869
275,1.01263,-5.35572
276,1.01368,-5.60568
277,0.990076,-7.89924
278,1.03149,-10.0452
279,1.06244,-12.4997
280,1.00853,-10.0297
281,0.97273,-10.6642
282,0.95,-1.49494
283,0.950129,-1.47043
284,1.00842,-5.204
285,1.00685,-6.24131
286,1.04386,-15.6027
287,1.01497,-10.85
288,1.00171,-12.408
289,1.06859,-10.054
290,0.973709,-10.5319
291,1.0247,-10.1513
292,1.00601,-4.97813
293,1.04309,-10.2049
294,1.0507,-14.6734
295,1.06429,-9.795
296,1.00658,-6.77746
297,1.0136,-6.87637
298,1.01799,-6.89297
299,1.01818,-10.0153
300,1.01392,-5.60984
301,1.00219,-2.37354
302,1.00605,-4.9727
303,1.01646,-6.08443
304,1.01128,-5.20753
305,1.01525,-6.88897
306,1.00346,-6.69809
307,1.01752,-6.80438
308,1.02263,-6.16621
309,1.0142,-6.88137
310,1.01404,-5.17154
311,1.01261,-5.84072
312,1.05821,-8.88018
313,1.0091,-9.28921
314,1.0077,-12.5835
315,1.00963,-13.0583
316,1.0095,-13.0471
317,0.993783,-10.3544
318,1.00961,-5.15278
319,1.01163,-5.39511
320,1.06324,-12.9014
321,1.01133,-5.89062
322,1.00212,-6.79141
323,1.00546,-6.78161
324,1.06498,-12.6331
325,1.03745,-14.5286
326,1.00555,-6.7837
327,1.00972,-6.84649
328,1.01015,-6.92655
329,1.0091,-5.59933
330,1.03137,-6.3751
331,1.01138,-7.47887
332,1.03631,-14.6016
333,0.976446,-22.2058
334,1.01509,-5.98635
335,1.04628,-13.2226
336,1.02059,-9.50546
337,1.01267,-10.7394
338,1.01105,-9.00882
339,1.0151,-9.41977
340,0.987041,-9.33109
341,1.00739,-9.51291
342,1.00731,-9.52213
343,1.01529,-9.42401
344,0.988607,-24.1184
345,1.07148,-12.2412
346,0.997833,-19.2632
347,1.00612,-4.99091
348,1.00235,-10.51
349,0.99399,-10.0812
350,1.01206,-11.9531
351,1.08363,-11.6236
352,1.02015,-10.3297
353,1.01345,-10.1684
354,1.08368,-11.6268
355,1.02447,-10.0278
356,1.02393,-13.3445
357,1.06199,-13.5572
358,0.998314,-9.5281
359,0.998129,-9.48166
360,0.978932,-8.83278
361,1.11654,-11.5598
362,1.01129,-12.9756
363,1.06014,-13.4283
364,0.999667,-12.5018
365,1.06133,-12.4363
366,1.00236,-7.96712
367,1.01432,-14.0964
368,1.0146,-15.989
369,1.02704,-18.8326
370,1.06002,-13.4841
371,1.01093,-13.5267
372,1.00627,-6.34876
373,1.01815,-6.18533
374,1.00473,-18.8065
375,1.00293,-18.715
376,0.982693,-7.7528
377,0.982799,-7.75937
378,1.01177,-13.401
379,1.11515,-11.3618
380,1.11733,-11.3337
381,1.05405,-13.4196
382,1.12,-11.1286
383,1.08062,-12.7965
384,1.01382,-13.088
385,1.00967,-9.92784
386,1.04158,-8.26438
387,1.07877,-11.9413
388,1.0072,-4.88658
389,1.00733,-5.84822
390,0.959107,-1.79164
391,0.985243,1.6933
392,1.05592,-12.658
393,1.1066,-12.4475
394,1.06139,-8.30864
395,1.06329,-13.4406
396,1.06048,-12.4632
397,1.012,-13.0145
398,1.06013,-13.8235
399,0.997277,-12.0356
400,0.978342,-9.3889
401,1.02478,-10.3109
402,1.03615,-9.8684
403,0.987121,-2.59053
404,1.01138,-0.98224
405,1.03561,-17.571
406,0.983897,-2.55827
407,1.06236,-13.5321
408,1.04314,-7.74158
409,1.06009,-13.8228
