bus_id,Pg,Qg
45,774.191,-1124.82
17,140.004,119.999
18,140.004,119.999
27,359.992,-9.99636
29,369.996,-9.9994
43,212.852,119.996
44,193.727,119.996
55,130.004,-19.9992
56,130.004,-19.9992
57,130.004,-19.9994
59,63,28.7886
78,140.01,104.989
82,220.006,-36.9992
104,120.013,112.997
106,79.0093,-4.98834
107,79.0093,-4.98856
117,70.0081,-19.9882
118,80.0069,33.0114
125,160.012,112.997
126,140.013,83.9973
127,140.011,-7.49885
146,30.0033,11.9987
148,221.993,0.0010207
150,105.022,0.000595994
151,92.1471,0.000595964
155,94.0036,119.233
159,120.003,0.000609669
165,150.003,119.999
166,150.003,119.999
205,-1.83838e-10,-29.9992
206,-1.83868e-10,-29.9992
215,37.079,0.219388
229,5.5,1.49812
230,5.5,6.99814
239,3,7.9999
246,369.996,25.805
291,2,1.99967
294,2,1.99957
306,9.167,6.99785
307,36.5,14.9981
308,32,14.9981
310,35,19.9978
311,45,39.9979
319,2,2.99785
345,1,0.999739
362,40,11.9974
363,40,11.9996
365,40,11.9997
368,1,0.999738
382,15.002,2.82454
383,15.0206,9.99944
386,2.5,1.99835
395,1,0.999617
421,4,3.99954
426,3,2.99754
431,5,7.99949
440,2,1.99942
447,3.5,19.9998
463,3.88088e-10,1.99977
482,1.4,0.698763
490,3,2.99977
522,1.7614e-10,0.999302
533,0.5,0.999282
534,35.89,13.9997
535,24.573,17.4998
549,1,0.699768
557,25.724,5.05081
558,31.032,5.06393
581,3,2.99955
594,2.07,0.00187648
601,4.05,0.00472871
622,110,0.000191049
626,2.25,0.891775
630,4.5,0.00632185
631,5.4,0.00633185
655,0.81,0.000864039
660,135.004,119.999
661,135.004,119.999
667,1.89,0.000757526
671,7.65,0.676904
673,2.7,0.00254435
681,190,29.9716
687,9,4.48909
699,5.4,2.65958
702,0.9,0.000939532
712,9,0.000901733
718,1.44,0.00089077
722,2.25,0.0313459
731,1.35,0.00144816
736,130.003,-19.9991
740,1.8,2.85496e-10
747,4.68,0.000921329
759,90,0.000757121
778,9,0.000804574
780,1.26,0.00119746
783,6,2.98677
788,2,0.00078509
803,0.00350848,0.00127586
804,0.00394625,0.00136072
815,2.7,0.00641244
834,0.9,-1.41857e-10
840,25,0.00103672
844,1.9,0.308383
848,3.011,0.00950301
854,7,0.931561
873,68,0.0334192
902,0.111,0.00810876
952,2.6,0.0269418
972,27,31.993
973,80,109.993
977,13.511,2.38441
986,5.1,0.827218
998,220.006,55.3229
999,220.006,-58.9939
1002,14.999,2.37936
1004,110,109.991
1007,1,0.00810661
1010,15.011,3.32232
1012,15,2.06815
1021,20,17.9992
1022,19.998,17.9992
1023,19.998,13.9992
1076,1,3.612e-11
1108,1,6.06689e-11
1114,4,4.04587e-11
1129,6.999,0.00137459
1151,20,0.0331449
1152,25,0.0331619
1153,20,0.102781
1179,60,52.4965
1187,15,2.75427
1188,7.01,0.622469
1226,1,0.0161655
1245,25,1.89272e-11
1246,20,3.56822e-11
1247,5,2.71792e-10
1279,4.5,1.03535
1285,50,40.9992
1286,127.549,112.998
1287,120.013,112.995
1296,0.2,1.03843e-10
1330,2.011,0.00719557
1341,20,1.09307e-10
1342,20,1.098e-10
1351,79.009,-4.98053
1362,78.3339,84.9993
1373,90,-23.4156
1374,90,-24.0872
1375,90,-24.9689
1429,2,1.64226e-09
1433,14.999,8.72703e-10
1434,4,0.689501
1435,13.999,4.65948
1436,13.999,4.65946
1440,140.01,5.00608
1444,3,0.688261
1494,0.4,6.07314e-11
1519,0.3,7.22819e-13
1520,2.011,0.00719204
1521,3,6.07244e-11
1543,1.8,0.0358896
1546,3.2,0.551594
1547,3.2,0.551642
1580,1,1.21513e-10
1594,1,0.000957005
1675,55.025,114.997
1687,80.0061,32.4504
1742,0.4,0.00108284
1749,1,8.64468e-10
1760,2.7,0.689473
1774,4.3,0.286351
1798,15,0.00113891
1799,32,25.9983
1843,171.87,75.9994
1847,3.2,0.00114734
1849,0.5,0.011704
1852,3.011,0.532486
1865,3.6,0.00104693
1878,20,5.80134
1885,1,2.63166e-11
1911,15,4.96951
1912,15,4.96951
1930,9.999,1.6562
1932,102.004,89.9985
1933,100.004,89.9986
1969,50,0.0220655
1970,30,0.00679622
1996,221.995,0.00126501
2006,40,0.0742901
2007,100,89.9479
2019,25,9.99718
2020,5,1.99665
2046,90.0027,89.9991
2095,25.0028,11.9991
2096,20.001,0.00247151
2098,30.0027,4.25236e-05
2218,150.002,119.999
2219,150.001,92.1335
2257,50.1,0.00114333
