bus_id,Pg,Qg
1279,0,0
1210,7.22,10.158
751,9.2,16.92
2777,7.74905e-08,-0.0999697
2777,7,0.90003
978,2.4,-2.39739
158,4.70137e-09,0
1217,13,0.0246051
367,50,27
1127,3.2,0
460,0,0
968,3.6,-10
1827,22,7
1466,40,4.99998
2863,1,3.30736
1466,40,4.99998
2863,40,3.30736
1072,0,0
1072,0,0
1072,0,0
642,10.33,-2.40253
642,2.07,-2.40253
542,5,16.4196
773,12,0
399,13.8,0
399,5.36493e-09,0
21,24,0
21,5.52,0
899,3.6,0
899,4.2,0
2618,6,0
2618,7.5,7.06996
285,1.2,0
285,7.5,7.73719
135,2.6,0.65832
53,3.6,-0.8
53,18,-0.8
596,4,0
958,2.25305e-08,0
1679,4.2,-1.66944
1679,21,-2.06489
1157,1.44,0
513,0,0
513,0,0
371,1.6,2.70051
371,8,2.70051
976,7,12
976,7,12
2754,2.3,0
749,0,0
1188,4,1.99997
1254,4.8,-3.67477
252,11,0.998222
252,9,0.149564
252,2.2,0.998222
252,9,0.149564
504,2.48,-4.39545
115,5.06,0
967,4.24558e-09,0
1811,1.8,-5.5
2634,14,2.01179
326,2.8,4.50262
1829,2.56,-3.94283
1314,39,-5.59093
71,6,2.29344
93,0,0
129,2.2,4
1594,12,3.77254
1594,2.4,3.77254
1354,5,2
1133,17.25,0
1405,37.8,12
2850,37.8,12
2849,7.56,12
1122,6.9,0
1708,45,7.60428
1708,45,7.60428
1658,5.98,0
2884,13.7,0
1154,4.16,0
231,8.3,-0.388587
2887,4.74,7
2888,4.74,7
1666,4.74,7
499,3.4,0.900001
499,1.4,0.900001
499,17,0.900001
2709,4.8,4
709,4.8,4
2710,4.8,4
2708,24,4
1280,3.6,0
1493,0,0
745,5.8,2.68323
2727,5.8,1.13142
1445,11,0
316,5,0.950039
316,1.96,0.0240689
564,2,0
1047,12,0
1047,5.35602e-09,0
1335,5.10009e-09,-0.999998
2624,6.2,1.75738
298,6.2,2.0504
298,6.2,2.0504
2625,6.2,2.0504
2625,6.2,2.0504
2624,31,1.75738
2721,4.8,-2.41366e-06
2718,24,8
741,24,8
2719,4.8,8
2720,24,8
283,23.5,7.99999
1506,14.3842,6
1506,27,6
1847,32,0.101965
1398,4,0
1398,4.07,0
225,9,-6.61542
225,9,-6.61542
1607,1.74,0
314,4,-2.00522
2680,239,45.3655
582,169,28.5229
2978,82,14.1065
2977,44,19.5087
240,239,-67.9258
1655,12,0
1655,6.18238e-09,0
1150,10.8,0
1447,1.4,1.93957
906,0,0
1474,0,0
1474,1.6,3
1474,8,3
963,8.9,0.999998
962,4.4,0
923,12,-4.9999
1153,3.2,-4.34653
1153,3.36,-1.78834
274,6.7,-1.24783
274,1.12,-0.859735
1776,2,-1.76371
1776,10,-1.76371
2914,2,-1.76516
2914,2,-1.76516
184,0,0
1657,26,4.7153
1657,26,4.7153
1761,4.83545e-09,-0.0954821
1761,0,0
1868,6,9.20769
1868,6,9.20769
731,0,0
2715,0,0
1263,4.62,2.358
1263,23.1,2.358
161,3.6,-0.044722
604,10.2,5.99998
918,5.2,0
1760,2.3,0.999989
1760,11.5,0.999989
1414,13,-1.96878
1414,2.4,-1.69443
662,8,14.4882
2697,40,18.9991
2696,8,14.4882
1346,12,-1.16674
1346,2.4,-1.16674
2622,8,2.23349
2622,3,2.23349
291,19,3.1492
1490,10.6,2.96613
1671,4.28,0.291131
1615,39,-3.38946
1681,87,4.62315
418,15,24.2472
2658,15,24.2472
418,15,24.2472
2658,15,24.2472
461,8.28,-5.44139
31,6.68,0
236,15,9.54596e-07
236,15,9.54596e-07
1754,5.0386e-09,-0.284751
1754,4.26823e-09,-0.284751
1754,5.83138e-09,-0.284751
898,4.98764e-09,0
898,4.52,0
120,3,-6.8938
549,5,12.0512
77,4.7,0
124,-1.04535e-08,0
124,-1.04535e-08,0
552,21,0
1858,1.92,1.37062
134,25,11.2059
1204,8.4,-8.53968
1204,8.4,-8.53968
641,11,-5
641,2.2,-5
916,12,0
1317,50,-5.57676
1317,8,6.94111
1610,13.8,0
1610,3,0
271,39,7.88744
1123,11.08,0
300,40.8,0
648,5.78,7.32677
1630,4.33305e-09,-0.0434644
1630,5,-0.16917
1630,4.27163e-09,-0.0434644
1604,5,2
1802,34,11.9494
2917,170,54.0482
2921,30,11.5654
2918,170,54.1786
2921,30,11.5654
2920,0,0
2919,34,26.1142
1802,34,11.9494
2917,170,54.0482
2919,170,26.1142
2918,170,54.1786
2920,0,0
946,16,8.22104
1576,3.80005,5
335,0,0
335,0,0
335,0,0
335,0,0
2932,7.02,11.9999
1873,7.02,12
2931,35.1,12
2761,4.8,12.5159
2759,4.8,12.516
2760,20,13.1225
2758,4.8,12.5159
883,4.8,12.5159
2757,24,13.403
631,52,-13
1355,3,1.8
1151,38,19.9999
2803,38,19.9999
2802,7.6,16.8083
1593,2.4,0.57215
1593,12,0.57215
313,27,9.99998
1573,13,7.12501
1294,2.56,4.49
2578,3.58,9.99989
2578,17.9,9.99989
1176,5.4,5.15419
1176,5.4,5.15419
1782,6,3.26943
626,78,0.999997
146,130,59
262,1.72108e-08,0.26712
262,5.7,0.382581
262,1.7,1.73689
262,4,0.171723
819,0,0
1536,5,2
1536,6.10529e-07,2
19,2.6,0.900007
838,2.5,1.35304
838,2.5,1.35304
519,2.6,2.50556
519,2.6,2.50556
275,5.32,0.0518428
482,6.96501e-08,0
876,28,2.56546
876,5.6,2.56546
876,28,2.56546
305,1,5.99999
305,1,5.99999
2628,1,5.82801
2628,1,5.82801
2628,1,5.82801
2628,1,5.82801
1456,2.34,0
38,46,4.26799
1798,5.4,12.7372
426,1.4,0.0999989
1714,1.2,0
744,5.8,2.20268
744,5.8,2.20268
1261,1.5,0.122969
1261,1.5,0.122969
1261,7.5,0.122969
1261,1.5,0.122969
1261,1.5,0.122969
975,4.47909e-09,-0.048565
975,1.96,-0.499453
1706,11.7,0
1160,1.6,0
1160,8,0
235,7.3,3.88779
2613,7.4,1.48136
2613,37,1.48136
259,7.4,0.471878
259,7.4,0.471878
2614,37,1.48136
2614,7.4,1.48136
1220,2.04,0
1220,3.6,0
1148,9,0.000433462
1069,6,5.93459
