bus_id,Vm,Va_deg
1,1.04378,142.465
2,1.05552,142.596
3,1.04414,142.532
4,1.04406,142.594
5,1.07494,145.545
6,1.07492,145.542
7,1.07496,145.548
8,1.06244,143.087
9,1.06247,143.091
10,1.06241,143.083
11,1.05917,142.756
12,1.05914,142.752
13,1.0592,142.76
14,1.06162,142.983
15,1.06165,142.987
16,1.06159,142.979
17,1.06162,142.983
18,1.0703,144.646
19,1.07024,144.637
20,1.07036,144.655
21,1.0703,144.646
22,1.06994,144.58
23,1.09321,149.034
24,1.08927,149.41
25,1.0893,149.414
26,1.08636,144.516
27,1.08633,144.512
28,1.08639,144.52
29,1.08644,144.559
30,1.08642,144.557
31,1.07769,145.707
32,1.07767,145.704
33,1.09806,151.008
34,1.09809,151.012
35,1.09803,151.004
36,1.08106,145.754
37,1.08674,144.62
38,1.08679,144.624
39,1.06937,144.099
40,1.06936,144.098
41,1.06975,144.547
42,1.0694,144.499
43,1.06678,144.423
44,1.06673,144.415
45,1.06684,144.431
46,1.08266,145.384
47,1.04166,142.922
48,1.04205,142.817
49,1.04203,142.936
50,1.04197,142.927
51,1.0421,142.944
52,1.08567,144.825
53,1.06351,145.063
54,1.06256,144.539
55,1.06245,144.528
56,1.0624,144.655
57,1.06547,145.582
58,1.09417,144.825
59,1.09416,144.824
60,1.06947,146.217
61,1.06951,146.222
62,1.06761,146.012
63,1.06757,146.007
64,1.06764,146.018
65,1.07015,146.192
66,1.08662,147.382
67,1.08554,146.924
68,1.08653,147.371
69,1.0868,147.407
70,1.08662,147.382
71,1.07712,145.647
72,1.07931,146.06
73,1.06901,146.736
74,1.06803,147.176
75,1.06987,146.046
76,1.06982,146.037
77,1.06993,146.055
78,1.06987,146.046
79,1.07115,146.218
80,1.07109,146.211
81,1.07131,146.302
82,1.03733,143.833
83,1.03209,143.712
84,1.03202,143.702
85,1.04229,143.961
86,1.04222,143.951
87,1.04236,143.973
88,1.04281,144.18
89,1.09579,144.966
90,1.0749,146.131
91,1.05862,146.299
92,1.06662,145.648
93,1.05881,144.752
94,1.05472,144.661
95,1.05564,144.597
96,1.0577,145.669
97,1.06545,148.418
98,1.06309,147.261
99,1.06531,148.398
100,1.06593,148.485
101,1.06545,148.418
102,1.06545,148.418
103,1.06168,146.934
104,1.0086,156.331
105,1.01603,155.354
106,1.00876,156.368
107,1.00855,156.326
108,1.0086,156.331
109,1.0086,156.331
110,1.01594,155.269
111,1.01592,155.27
112,1.04796,144.623
113,1.00936,143.778
114,1.0077,143.593
115,1.00102,144.466
116,1.00844,143.704
117,1.00091,144.45
118,1.00101,144.504
119,1.00102,144.466
120,1.01125,143.669
121,1.05131,144.406
122,1.05034,144.471
123,1.05019,144.457
124,1.05049,144.485
125,1.05034,144.471
126,1.07092,147.365
127,1.05707,145.135
128,1.07081,147.352
129,1.07225,147.454
130,1.07092,147.365
131,1.06024,145.114
132,1.09137,145.413
133,1.08702,145.98
134,1.08688,145.963
135,1.08482,145.659
136,1.08472,145.639
137,1.08511,145.838
138,1.08817,146.132
139,1.08551,145.992
140,1.088,146.115
141,1.08844,146.155
142,1.08817,146.132
143,1.06939,147.274
144,1.06812,147.033
145,1.07222,146.816
146,1.07044,146.324
147,1.06469,153.863
148,1.06474,153.865
149,1.04668,143.848
150,1.03828,143.182
151,1.03642,142.627
152,1.04618,143.787
153,1.08159,151.296
154,1.0816,151.298
155,1.07515,147.121
156,1.07908,147.369
157,1.07905,147.363
158,1.07912,147.375
159,1.07375,146.888
160,1.07371,146.882
161,1.04662,144.528
162,1.04665,144.534
163,1.03351,145.221
164,1.07169,148.057
165,1.07174,148.068
166,1.07163,148.045
167,1.06767,146.961
168,1.06775,146.99
169,1.06732,146.895
170,1.06334,149.301
171,1.02088,142.264
172,1.02082,142.257
173,1.02093,142.27
174,1.05343,147.948
175,1.05351,147.958
176,1.08523,146.819
177,1.08741,146.755
178,1.08736,146.749
179,1.08637,147.165
180,1.08634,147.159
181,1.08641,147.171
182,1.02225,154.369
183,1.0495,144.391
184,1.04938,144.371
185,1.04963,144.409
186,1.0495,144.391
187,1.05212,144.676
188,1.05467,144.683
189,1.05455,144.664
190,1.05478,144.702
191,1.05467,144.683
192,1.05522,148.341
193,1.06165,146.212
194,1.05508,148.321
195,1.05651,148.454
196,1.05522,148.341
197,1.03642,152.393
198,1.03346,152.959
