bus_id,Pg,Qg
2357,585,148.863
2358,771,-453.043
2359,879,152.105
2360,260,97.3151
2361,608,124.007
2362,498,175.119
2367,616,153.609
2367,572,136.274
2368,0.74,-101
2368,0.471,-71
2376,116.467,234.405
2377,38.064,340.133
2383,3.36,51
2391,50.911,117.346
2392,37.719,210.412
2393,32.996,174.879
2400,254,-127
2405,45.2832,45.5923
2411,143,-72
2419,537,165.166
2420,241,121
2421,518,114.691
2422,141,71
2423,269,105.359
2424,165,83
2432,121,-61
2433,88,-44
2441,12.958,-85
2442,31.3425,-53
2443,53.961,-157
2444,24.1445,-100
2445,53.457,-92
2446,49.1335,-115
2454,169,85
2455,357,168.533
2456,137,69
2457,440,220
2458,113,57
2459,217,109
2464,144,4.82453
2471,24.8065,-57
2472,22.3505,-123
2473,28.791,-74
2474,11.209,-65
2475,18.699,-133
2476,17.6025,-102
2483,184,92
2484,185,93
2490,189,95
2497,177,40.3287
2498,120,32.8888
2504,13,7
2504,6,4.8
2511,81,41
2511,47,24
2517,23.2418,2.88033
2517,87.1033,21.9303
2523,132.46,34.5819
2531,37.3445,130
2532,27.7225,203
2540,21.0935,-104
2541,14.8435,-45
2542,12.5875,-122.115
2543,14.9555,-86
2544,8.249,-49
2545,24.5255,-108.393
2550,8.4245,427
2551,8.113,53
2551,3.3915,47
2551,6.5765,62
2558,0.4055,5
2558,1.899,16
2559,0.574,12
2559,1.345,5
2565,21,11
2572,116,58
2572,41,21
2573,185,93
2573,112,56
2578,17.3651,1.60059
2578,38.0339,6.97042
2578,24.7196,3.16273
2578,61.573,17.1535
2578,18.9394,1.99499
2578,57.0256,15.0317
2578,14.7842,1.24857
2578,22.6409,2.66486
2578,50.3295,12.0616
2578,78.2142,24.7466
2584,3.5025,-14.6167
2584,2.396,-23.5932
2591,70,35
2592,217,70.7598
2592,129,32.5708
2593,93,47
2593,67,34
2598,44.4247,33.8461
2598,37.9315,21.3687
2598,23.479,6.45038
2598,24.2555,6.89418
2598,48.5621,44.275
2602,119,-60
2608,0.975,18
2608,0.448,17
2609,0.2435,32
2609,0.571,34
2610,0.7585,16.5102
2611,0.79,14
2616,53.9632,19.9608
2616,29.4987,7.77044
2616,41.3887,13.0749
2616,28.8541,7.24601
2616,65.7492,26.0202
2616,12.8465,1.64217
2616,52.98,19.2343
2620,229,115
2628,47,24
2629,116,58
2637,41.0495,121
2638,22.931,154
2639,42.4225,171
2646,351,100.514
2653,73,-37
2658,59,10.3858
2658,85,19.339
2664,4.527,171
2670,40.0955,86.5092
2675,62.6311,-9.88013
2675,29.9137,-2.5286
2675,87.0762,-17.7569
2675,28.8663,-2.35255
2675,42.8212,-5.11767
2682,103.583,-103
2683,348,-174
2684,451,-226
2685,67.794,-127
2686,851,-308.369
2687,356,-178
2692,190,95
2692,153,77
2698,120,60
2706,23.7705,173.127
2707,27.1925,136
2712,0.458,51
2719,16.58,91
2720,8.4855,153
2721,16.469,120
2722,17.4235,119
2730,27.583,217
2731,34.3865,98
2736,304,152
2740,63.1155,13.4995
2740,31.8105,3.49001
2740,52.7057,9.3851
2740,73.2066,17.7957
2740,104.767,35.2133
2746,70,35
2746,57,29
2752,59.351,12.7257
2757,769,385
2758,89.3069,-34.305
2758,87.0988,-28.3518
2758,55.5734,-6.90155
2766,145,73
2767,80,66.547
2768,351,176
2769,113,66.547
2770,173,87
2771,115,66.547
2772,6,3
2772,3,2.4
2773,46,23
2773,70,35
2778,210.071,167
2778,425.81,300
2778,322.733,238
2786,7.701,27.6484
2786,7.758,24.67
2787,6.6785,36.0098
2793,86.9531,2.62986
2793,15.5097,0.132897
2798,249,-58.5959
2803,32,-14.4797
2804,29,-7.21979
2804,18,-3.00555
2805,28.1752,0.476642
2805,21.5206,0.1716
2806,18.7332,0.155774
2806,29.9643,0.336849
2807,19.4962,0.385885
2814,325,64.766
2815,156,61.4715
2820,7.2735,141
2820,17.7315,153
2827,227,114
2828,295,148
2829,313.601,192
2830,261,131
2831,199,100
2832,248.671,154.372
2837,48.0802,-99
2842,61.3102,1.42262
2842,22.3737,0.218925
2849,108,54
2857,9.7425,88
2858,7.965,69
2859,15.3515,80
2865,75,38
2872,46,23
2873,39,20
2878,73,37
2878,90,45
2878,56,28
2878,44,22
2885,213,-107
2886,104,-52
2887,261,-131
2888,102,-51
2894,71.8223,11.2627
2899,230,115
2900,199.673,104.737
2900,85.0534,28.973
2900,69.6638,20.3419
2905,70,27.2069
2905,194,88.499
2910,134,34.148
2918,283,-1.01539
2919,523,152.516
2920,979,191.409
2921,903,25.4433
2922,561,280.999
2923,1029,202.35
2930,80,40
2931,69,35
2932,102,51
2933,66,33
2934,87,44
2935,83,42
2940,201,-101
2944,47.6199,8.21252
2944,47.7839,8.21252
2944,61.351,14.3237
2944,53.7723,10.1947
2944,65.7342,16.4019
2950,276.701,87.855
2950,134.522,27.8835
2951,227,70.5108
2951,182,50.4244
2959,218,-109
2960,341,-171
2961,173,-87
2962,107,-54
2963,97,-49
2964,200,-100
2969,346.779,151.868
2974,111,12.6075
2975,75,5.9869
2980,199,100
2981,131,66
2989,37.0435,317
2990,9.71,221
2998,108,61.158
2999,157,79
3000,232,116
3001,307,154
3002,390,195
3003,115,61.158
3010,187,94
3017,314,-157
3025,151,76
3031,207,4.89626
3036,0.601,-305
3041,48,20.7675
3049,204,-77.4345
3050,163,-58.3505
3055,0.253,-15.4345
3055,0.0835,-14.3228
3055,9.152,-48.2928
3062,84.8905,325
3068,27,14
3073,7.4765,28.4931
3073,108.119,5.56944
3077,122,61
3084,3.3755,18
3084,1.859,31
3085,131,66
3085,36,18
3090,123,62
3090,70,35
3090,202,101
3090,124,62
3091,67,34
4744,1.269,1.85567
4745,2.1155,2.19863
4751,75,38
4759,29.149,116.461
4760,67.219,116.461
4761,62.3235,136
4762,29.159,171
4763,29.4475,172
4764,39.456,170
4765,22,-11
4771,1.4085,-45
4771,0.978,-67
4778,37.749,157
4779,25.4555,79.048
4780,9.06,173
4781,14.7275,97
4786,20,10
4792,130,40.6887
4797,0.941,36.2809
4797,3.352,7.29305
4797,2.0175,21.0648
4802,68.0275,-175.433
4809,0.469,37.7973
4809,1.46,46.419
4810,1.8805,5
4817,107,-54
4825,164,82
4831,419.91,288.973
4831,413.02,283.981
4831,422.023,288.973
4831,413.937,284.98
4832,6,3
4840,11.6395,-101
4841,18.142,-117
4842,7.605,-136
4843,0.424,-119
4850,66,33
4851,12.7867,1.0261
4857,94.6196,11.3677
4865,36.4265,85.088
4866,31.98,85.088
4867,29.05,100
4874,129,65
4875,78,39
4880,4,2.4
4881,85.8331,55.6147
4881,68.933,45.6846
4881,121.269,76.5223
4881,68.075,44.6931
4888,120,-60
4895,164,82
4901,70,-35
4908,14,3.75953
4908,24,7.11715
4915,1.75,1.66836
4915,1.3565,26.9205
4923,103,52
4924,80,40
4931,130,-65
4932,26,-13
4940,386,193
4941,187,138.24
4942,242,138.24
4943,274,138.24
4944,351,176
4945,303,152
4950,4.6005,-69
4951,7.1195,-126
4951,4.585,-63
4957,68.8954,17.1587
4964,195,-98
4972,114.25,87
4973,118.434,137
4974,93.7778,119
4975,197.446,226
4976,129.596,108
4977,102.551,204
4978,62.7957,64
4979,59.379,51
4980,27.4598,12.3277
4981,18.2943,8.56506
4982,45.7683,50
4982,37.3222,40
4989,40,-20
4990,77,29.1511
4990,91,35.9061
4991,69,35
4996,12.9014,5.98244
4996,14.2539,6.68233
4996,17.6905,10.4745
4996,12.5544,5.30671
4996,32.1338,36.6274
4996,28.1897,27.1987
4996,20.8518,14.6177
4996,21.3844,15.4764
4996,12.9367,5.98244
4996,26.8969,24.4239
4996,21.7678,16.3432
4996,26.1171,22.5929
5003,21.449,-66
5008,0.5855,65
5008,0.552,32
5008,0.403,44
5008,0.878,22
5012,151.044,111.316
5012,44.0951,19.0139
5012,78.3918,46.0224
5012,63.0962,33.1504
5012,39.9531,16.1661
5016,91,-46
5022,74,-37
5022,149,-75
5028,45.5332,8.60734
5036,452,-226
5044,112,63.392
5045,266,133
5046,357,179
5047,428,214
5048,223,112
5049,138,69
5050,11,6
5055,3.2405,5.2568
5055,5.117,11.417
5055,1.855,5.95672
5055,3.5655,55.6102
5055,6.1645,9.57688
5055,7.9845,7.07971
5059,73,37
5059,69,35
5060,89,45
5061,63,32
5061,96,48
5066,1.74,-56
5070,6.2875,125
