bus_id,Vm,Va_deg
1,1.07721,110.731
2,1.0823,110.082
3,1.08055,111.09
4,1.08126,111.212
5,1.08311,110.187
6,1.0831,110.186
7,1.08312,110.189
8,1.08311,109.737
9,1.08313,109.739
10,1.08309,109.735
11,1.08281,109.803
12,1.08278,109.802
13,1.08283,109.805
14,1.08296,109.735
15,1.08298,109.737
16,1.08294,109.734
17,1.08296,109.735
18,1.07915,110.222
19,1.07911,110.217
20,1.07919,110.226
21,1.07915,110.222
22,1.0787,110.275
23,1.08472,111.532
24,1.0856,110.683
25,1.08562,110.685
26,1.08705,110.758
27,1.08703,110.756
28,1.08707,110.76
29,1.08706,110.781
30,1.08705,110.78
31,1.07614,111.502
32,1.07613,111.5
33,1.08634,111.103
34,1.08636,111.105
35,1.08632,111.101
36,1.07942,111.515
37,1.08726,110.813
38,1.08729,110.814
39,1.08443,109.899
40,1.08443,109.899
41,1.07771,110.582
42,1.07777,110.413
43,1.07558,110.631
44,1.07554,110.627
45,1.07562,110.635
46,1.08172,111.29
47,1.08096,111.68
48,1.08116,111.578
49,1.0811,111.645
50,1.08106,111.64
51,1.08115,111.649
52,1.08575,110.945
53,1.07329,111.303
54,1.07246,110.912
55,1.07238,110.907
56,1.07236,111.014
57,1.07483,111.637
58,1.09461,110.824
59,1.0946,110.824
60,1.07526,112.412
61,1.0753,112.415
62,1.07596,111.956
63,1.07594,111.954
64,1.07599,111.959
65,1.07396,112.574
66,1.07713,113.129
67,1.08134,112.175
68,1.07707,113.123
69,1.0772,113.166
70,1.07713,113.129
71,1.07994,111.441
72,1.08025,111.759
73,1.07938,112.44
74,1.08193,112.498
75,1.0717,112.885
76,1.07166,112.88
77,1.07173,112.89
78,1.0717,112.885
79,1.072,112.921
80,1.07196,112.918
81,1.07296,112.806
82,1.07976,112.632
83,1.0789,112.96
84,1.07886,112.955
85,1.08102,112.332
86,1.08097,112.327
87,1.08106,112.337
88,1.08105,112.433
89,1.09615,110.87
90,1.07781,112.311
91,1.07037,113.535
92,1.07138,112.762
93,1.07095,112.53
