bus_id,Pg,Qg
2357,1082.5,103.228
2358,1082.5,-3.50157
2359,1082.5,104.812
2360,1082.5,116.741
2361,1082.5,106.416
2362,1082.5,102.916
2367,5.7,-0.279
2367,5.7,-0.279
2368,5.7,-0.279
2368,5.7,-0.279
2376,232.934,-89.048
2377,76.128,-89.048
2383,14.8,5.68299
2391,101.822,118.427
2392,75.438,118.427
2393,65.992,118.427
2400,126.678,-37.757
2405,16.8,-0.823
2411,204,-29.376
2419,56.7986,16.3749
2420,98.9578,15.6736
2421,52.0656,10.8825
2422,94.0787,13.6974
2423,58.8805,10.3575
2424,66.9629,12.8943
2432,136.3,-19.627
2433,136.3,-19.627
2441,216.6,7.47166
2442,216.6,8.23618
2443,216.6,10.0199
2444,216.6,9.5576
2445,216.6,7.83889
2446,216.6,8.5301
2454,100.5,38.592
2455,100.5,38.592
2456,100.5,38.592
2457,100.5,38.592
2458,100.5,38.592
2459,100.5,38.592
2464,6,1.278
2471,129,49.536
2472,129,49.536
2473,129,49.536
2474,129,49.536
2475,129,49.536
2476,129,49.536
2483,52.4,-2.568
2484,52.4,-2.568
2490,27.5,10.56
2497,78.3,16.678
2498,78.3,14.4912
2504,12,-0.587999
2504,1.5,-0.0739993
2511,35,-1.715
2511,35,-1.715
2517,36,-1.764
2517,36,-1.764
2523,105.3,-15.163
2531,150,-7.35
2532,150,-7.35
2540,104.9,40.282
2541,104.9,40.282
2542,104.9,40.282
2543,104.9,40.282
2544,104.9,40.282
2545,104.9,40.282
2550,16.849,-4.629
2551,16.226,-4.629
2551,6.783,-4.629
2551,13.153,-4.629
2558,8,1.33567
2558,8,1.33567
2559,8,1.02885
2559,8,1.02885
2565,26.8,-1.313
2572,45.6,-2.234
2572,45.6,-2.234
2573,45.6,-2.234
2573,45.6,-2.234
2578,0.233,-0.0109907
2578,21.6,-1.05799
2578,0.233,-0.0109907
2578,0.233,-0.0109907
2578,0.233,-0.0109907
2578,0.233,-0.0109907
2578,0.233,-0.0109907
2578,0.4,-0.0199907
2578,1.6,-0.0779907
2578,21.6,-1.05799
2584,15,-0.735
2584,15,-0.735
2591,12.8,-0.626999
2592,12.8,-0.626999
2592,12.8,-0.626999
2593,12.8,-0.626999
2593,12.8,-0.626999
2598,2.62,-0.128
2598,2.62,-0.128
2598,2.62,-0.128
2598,2.62,-0.128
2598,2.62,-0.128
2602,21.055,-7.2
2608,1.95,2.087
2608,0.895999,2.087
2609,0.486999,2.087
2609,1.142,2.087
2610,1.517,1.5643
2611,1.58,1.3216
2616,0.800001,0.307001
2616,0.800001,0.307001
2616,0.800001,0.307001
2616,0.800001,0.307001
2616,1.7,0.653001
2616,2.5,0.960001
2616,12.9,4.954
2620,90,19.17
2628,29.6,11.366
2629,29.6,11.366
2637,82.099,-15.904
2638,45.862,-14.4933
2639,84.845,-21.459
2646,266.8,20.6683
2653,32.6,-14.083
2658,2.2,0.845001
2658,2.3,0.883001
2664,9.054,-9.746
2670,80.191,30.8401
2675,3.52,1.352
2675,3.52,1.352
2675,3.52,1.352
2675,3.52,1.352
2675,3.52,1.352
2682,409.367,95.7166
2683,409.367,131.076
2684,409.367,91.8555
2685,409.367,124.422
2686,409.367,95.5932
2687,409.367,119.573
2692,6,2.304
2692,6,2.304
2698,151.2,-21.773
2706,47.541,81.186
2707,54.385,81.186
2712,0.915999,-0.799001
2719,33.16,-10.434
2720,16.971,-10.434
2721,32.938,-10.434
2722,34.847,-10.434
2730,55.166,-15.779
2731,68.773,-15.779
2736,10,3.84
2740,0.5,-0.0249682
2740,1,-0.0489682
2740,4,-0.195968
2740,4,-0.195968
2740,4,-0.195968
2746,19.35,-0.948
2746,19.35,-0.948
2752,6.1,2.342
2757,27.95,-1.37
2758,27.95,-1.37
2758,27.95,-1.37
2758,27.95,-1.37
2766,88.655,66.547
2767,89.0203,66.547
2768,173.3,66.547
2769,87.4625,66.547
2770,78.6879,66.547
2771,72.897,66.547
2772,0.257007,0.307001
2772,0.156007,0.307001
2773,0.599994,0.230001
2773,0.599994,0.230001
2778,8.295,-3.92
2778,39.359,-3.92
2778,29.318,-3.92
2786,15.402,-4.373
2786,15.516,-4.373
2787,13.357,-4.373
2793,25,-1.225
2793,25,-1.225
2798,10,3.84
2803,2.7,-0.329
2804,2,-0.244
2804,2,-0.244
2805,2,-0.244
2805,2,-0.244
2806,2,-0.244
2806,1.8,-0.22
2807,1,-0.122
2814,67,25.728
2815,67,25.728
2820,14.547,-9.391
2820,35.463,-9.391
2827,135,51.84
2828,135,51.84
2829,135,51.84
2830,135,51.84
2831,135,51.84
2832,135,51.84
2837,4.3,-0.211
2842,10,2.24675
2842,10,2.24675
2849,100.7,21.449
2857,19.485,-10.564
2858,15.93,-10.564
2859,30.703,-10.564
2865,50,-7.2
2872,6.9,2.65
2873,6.9,2.65
2878,7.94,2.08042
2878,2.33,2.08042
2878,9.907,2.08042
2878,4.756,2.08042
2885,112.5,-5.513
2886,112.5,-5.513
2887,112.5,-5.513
2888,112.5,-5.513
2894,12.8,4.915
2899,40.5,-1.984
2900,40.5,15.552
2900,40.5,15.552
2900,40.5,15.552
