bus_id,Vm,Va_deg
1,1.08512,-1.48433
2,1.08588,0.258714
3,1.08178,-24.6875
4,1.08174,-24.6949
5,1.11,-26.7589
6,1.06534,-5.61845
7,1.06536,-5.61745
8,1.07142,-15.1702
9,1.07155,-15.1586
10,1.10708,-18.634
11,0.995574,-11.6645
12,0.995561,-11.6569
13,0.980945,-15.4662
14,1.02736,-15.316
15,1.02723,-15.3159
16,1.01067,-19.3654
17,1.00521,-19.4133
18,1.00171,-10.1949
19,1.00174,-10.1863
20,1.00801,-18.3669
21,0.997875,-15.9016
22,1.07476,-19.5563
23,1.07479,-19.5533
24,1.07208,-4.70752
25,1.07219,-4.71333
26,1.04711,-15.581
27,1.04708,-15.5809
28,1.0256,-15.0701
29,1.02558,-15.08
30,1.07058,-2.93655
31,1.0705,-2.95631
32,1.01824,-12.1851
33,1.01824,-12.1893
34,1.02288,-14.6707
35,1.08992,-1.3346
36,1.09094,0.431908
37,1.01944,4.94187e-18
38,1.01943,0.00261051
39,1.02958,-15.7893
40,1.02949,-15.7975
41,1.02442,-1.97256
42,1.02441,-1.97505
43,1.02363,-15.6323
44,0.997971,-15.9021
45,1.06013,-6.87208
46,1.06023,-6.87577
47,1.03276,-9.08282
48,1.04878,-7.00251
49,1.05729,-5.65872
50,1.0573,-5.66167
51,1.01291,-9.63183
52,1.06205,-6.37194
53,1.06213,-6.36509
54,1.00161,-5.79584
55,1.04578,-8.59356
56,1.04589,-8.60176
57,1.04572,-8.58782
58,0.980567,-8.02911
59,0.980487,-8.0254
60,1.05607,-7.00465
61,1.0409,-5.01902
62,1.04089,-5.02063
63,0.980612,-9.20032
64,1.02487,-7.69208
65,1.02487,-7.68291
66,0.997563,-6.98916
67,0.997624,-6.98411
68,1.06494,-4.44516
69,1.06479,-4.43822
70,1.01085,-5.1474
71,1.01086,-5.14801
72,1.03574,-9.08966
73,1.03574,-9.08875
74,1.05633,-6.87112
75,1.05636,-6.87202
76,1.04484,-9.03989
77,1.04482,-9.04456
78,1.02898,-5.17842
79,1.02902,-5.18012
80,1.04261,-6.82872
81,1.04521,-6.82512
82,1.02999,-6.04766
83,1.06581,-3.0172
84,1.06188,-5.33337
85,1.06165,-5.35082
86,1.07724,-2.20904
87,1.07734,-2.19881
88,1.0806,-0.124955
89,1.08063,-0.129106
90,1.04602,-4.10497
91,1.04583,-4.1055
92,1.08387,-1.27786
93,1.08214,-1.26585
94,1.06735,-1.51709
95,1.06737,-1.52057
96,1.03588,0.0113967
97,1.03589,-0.00746263
98,1.04878,-2.39212
99,1.0849,-0.604607
100,1.08492,-0.611431
101,1.06908,-2.81281
102,1.06904,-2.8149
103,1.07503,-1.38533
104,1.07497,-1.39142
105,1.07089,-2.52268
106,1.07089,-2.52512
107,1.02663,-1.41531
108,1.02663,-1.40928
109,1.08128,-1.04784
110,1.08134,-1.04234
111,1.06098,-0.55798
112,1.06093,-0.567239
113,1.07364,-2.27678
114,1.0736,-2.28394
115,1.06197,-5.31823
116,1.062,-5.31812
117,1.03551,-4.1057
118,1.03546,-4.10292
119,1.08929,-0.0795732
120,1.08933,-0.0988071
121,1.08142,-0.888876
122,1.08149,-0.877594
123,1.06807,-3.0823
124,1.06809,-3.08966
125,1.0355,-4.53499
126,1.06326,-0.732613
127,1.0633,-0.736471
128,1.06866,-1.76625
129,1.06877,-1.76217
130,1.02269,-1.42724
131,1.02269,-1.42724
132,1.07929,-1.9115
133,1.07923,-1.91035
134,1.04854,-3.48104
135,1.04862,-3.48461
136,1.02945,-4.96072
137,1.02955,-4.95726
138,1.02969,-2.40636
139,1.02968,-2.40712
140,1.02775,-4.82179
141,1.02778,-4.81805
142,1.07968,1.01502
143,1.07973,1.0291
144,1.02641,0.174503
145,1.02641,0.166611
146,1.06834,-2.85503
147,1.06838,-2.84815
148,1.08357,-0.973561
149,1.07035,-2.58337
150,1.0461,-4.10555
151,1.04591,-4.10609
152,1.08652,-8.16078
153,1.08654,-8.1658
154,1.06265,-8.54447
155,1.06265,-8.54596
156,1.03957,-10.0018
157,1.08086,-7.16357
158,1.08077,-7.17118
159,1.02571,-5.49684
160,1.02568,-5.49965
161,1.03379,-17.0691
162,1.07131,-27.057
163,1.07131,-27.057
164,1.05458,-23.2614
165,1.05458,-23.2614
166,1.03588,-10.2516
167,1.08133,-11.1292
168,1.08139,-11.1322
169,1.09481,-25.7512
170,1.09489,-25.7363
171,1.02712,-20.0453
172,1.02714,-20.0357
173,1.00138,-17.6521
174,1.00142,-17.6578
175,1.03152,-17.4346
176,1.03163,-17.428
177,1.11,-4.29964
178,1.11,-4.28894
179,1.11,-4.28894
180,1.04725,-1.58972
181,1.04722,-1.58864
182,1.07631,-27.0293
183,1.07631,-27.0293
184,1.01534,-4.97026
185,1.0055,-10.6919
186,1.02359,-4.70876
187,1.0236,-4.70105
188,1.08381,-11.0896
189,1.08375,-11.112
190,1.00642,-4.36442
191,1.03196,-23.0515
192,1.032,-23.0595
193,1.06982,-27.1262
194,1.06982,-27.1271
195,1.03612,-17.1872
196,1.03605,-17.1939
197,0.990515,-14.5798
198,1.02107,-13.7375
199,1.02108,-13.7327
200,1.02734,-17.8886
201,1.06256,-8.23435
202,1.06253,-8.24278
203,1.05544,-7.08999
204,1.0329,-17.4449
205,1.01009,-15.34
206,1.01012,-15.3245
207,1.04851,-20.3566
208,1.10138,-21.7428
209,1.04184,-20.6317
210,1.04184,-20.6324
211,1.0363,-19.6235
212,1.0363,-19.6278
213,1.0344,-25.2406
214,1.03635,-23.8
215,1.03636,-23.8043
216,1.06434,-20.1156
217,1.06426,-20.1194
218,1.0178,-18.0575
219,1.0178,-18.0575
220,1.0422,-22.5688
221,1.05459,-19.4225
222,1.05458,-19.4291
223,1.06725,-23.6509
224,1.07174,-22.3707
225,1.03606,-21.8713
226,1.03603,-21.8723
227,1.04707,-25.1748
228,1.065,-22.6035
229,1.06507,-22.601
230,1.05,-19.87
231,1.04998,-19.8729
232,1.03395,-20.6303
233,1.03389,-20.628
234,1.03691,-18.585
235,1.03683,-18.5987
236,1.03991,-18.159
237,1.03993,-18.1592
238,1.06946,-23.1089
239,1.06955,-23.106
240,1.08147,4.36999
241,1.04805,-23.6362
242,1.07729,-29.1124
243,1.07723,-29.1111
244,1.08685,-18.2388
245,1.08705,-18.2527
246,1.01385,-21.8099
247,1.01381,-21.8121
248,1.0631,-2.53389
249,1.07158,-2.66626
250,1.094,-23.9367
251,1.09407,-23.9294
252,1.09309,-23.7163
253,1.09245,-23.6002
254,1.09249,-23.6106
255,1.09329,-23.3997
256,1.09329,-23.4161
257,1.09246,-23.6003
258,1.09308,-23.793
259,1.09312,-23.7989
260,1.09307,-23.9571
261,1.0931,-23.9608
262,1.09489,-23.9761
263,1.0667,-20.3738
264,1.06678,-20.3679
265,1.07948,-20.1429
266,1.07944,-20.1548
267,1.08923,-11.5169
268,1.06463,-8.45333
269,1.08442,-19.4866
270,1.08443,-19.4888
271,1.05753,-5.4382
272,1.05745,-5.45517
273,1.05587,-0.651397
274,1.0958,-19.4372
275,1.09579,-19.4578
276,1.09151,-25.9497
277,1.07205,-24.0011
278,1.07194,-24.0062
279,1.09409,-8.15531
280,1.08465,-19.8329
281,1.0847,-19.8236
282,1.08863,-9.12084
283,1.08849,-9.14369
284,1.06914,-20.273
285,1.07205,-2.60387
286,1.07203,-2.6079
287,1.03755,-10.7218
288,1.03756,-10.7172
289,1.05225,-2.14546
290,1.0523,-2.1638
291,1.07927,-22.8295
292,1.09644,-7.92604
293,1.09644,-7.92297
294,1.07812,-23.0733
295,1.07814,-23.0738
296,1.07531,-24.4392
297,1.07,-24.2077
298,1.06994,-24.206
299,1.08543,-25.5357
300,1.08546,-25.5497
