bus_id,Pg,Qg
22,110,11.3536
23,140,20.5423
35,0,0
35,0,0
35,370,157.331
36,370,110.864
36,370,110.864
37,370,-19
37,370,-19
37,370,-19
38,370,-19
38,370,-19
38,370,-19
55,141.448,-13.336
55,0,0
56,0,0
56,225,121.064
57,110,6.95315
57,120,6.95315
58,255,-47
59,250,-100
68,129,-14
69,129,-14
69,129,-10
70,0,0
70,0,0
71,129,-10
71,129,-14
92,220,134
92,225,131
93,0,0
93,225,118.194
93,225,118.194
96,269.616,-30
96,268.544,-31
113,0,0
113,0,0
113,21,0
119,225,85.9248
120,225,120
121,120,45.8222
122,120,1.38717
132,0,0
133,120,79
134,110,31
142,215,-35
143,215,47.3423
143,225,49.7143
144,225,-36
144,220,-36
150,0,0
150,0,0
151,0,0
151,0,0
152,120,75.8419
152,0,0
153,120,69.6372
167,0,0
169,205,111
170,0,0
170,0,0
170,232,119
171,90,-9.7
172,0,0
172,90,64.6227
177,115.239,92.8747
177,104.947,109.389
178,0,0
178,192.271,86.6282
178,215.698,73.8171
178,215.698,73.8171
180,120,102.933
180,120,102.933
188,225,112
189,200,112
189,0,0
189,200,112
190,464,163.38
204,0,0
236,179,-29.2329
236,179,-29.2329
236,179,-40.2842
237,179,17.1535
240,250,56.9848
250,0,0
250,0,0
251,23,20
251,0,0
267,2,1
268,2,1
282,0,0
283,0,0
301,5,3.75
301,5,3.75
301,5,3.75
302,5,3.75
316,370,67.1973
322,0,0
322,0,0
369,30,4
398,0,0
402,1,1
402,1,1
402,1,1
409,0,0
409,30,7
409,0,0
411,0,0
411,55,15
412,0,0
412,0,0
414,0,0
414,0,0
415,60,40
428,3,3
466,0,0
492,52,34.6896
493,55,25.9632
494,55,18.5403
494,55,18.5403
495,55,17.9339
495,77,22.21
517,120,42.3135
517,0,0
518,10,1.14336e-05
522,0,0
542,0,0.2
571,0,0
580,0,0
587,7,4.7
587,7,4.7
587,0,0
599,3,2
633,0,0
663,2,0.7
663,0,0
669,0,0
740,52,35
740,0,0
740,0,0
740,105,85
741,0,0
741,0,0
741,30,25
741,125,85
741,0,0
762,2,0.7
764,1,1
772,0,0
772,20,30
773,0,0
773,0,0
773,0,0
773,97,65
774,0,0
774,0,0
774,0,0
809,8,4
809,0,0
829,0,0
844,3,0
853,0,0
876,93,3.23482e-08
876,36,3.23482e-08
879,0,0
886,0,0
887,0,0
922,135,149
923,0,0
931,0,0
937,0,0
947,0,0
947,0,0
953,0,0
967,0,0
970,0,0
985,30,0
990,2,0
995,0,0
1006,0,0
1011,129,70.5957
1013,0,0
1016,0,0
1036,0,0
1042,0,0
1057,12,9.67801e-08
1060,0,0
1062,0,0
1067,8,0
1071,0,0
1071,68,1.34253e-09
1071,0,0
1071,0,0
1086,0,0
1086,92,-13.3225
1087,85,44.8561
1087,0,0
1099,0,0
1126,0,0
1132,31,0
1132,31,0
1133,0,0
1133,0,0
1164,78,14.2307
1188,0,0
1188,55,-10
1189,55,16.1529
1263,113,82.5466
1264,0,0
1268,17,0
1289,196.62,66.4852
1290,383,178.095
1294,0,0
1295,0,0
1301,0,0
1301,0,0
1302,0,0
1302,20,0
1303,0,0
1312,0,0
1313,0,0
1314,0,0
1405,0,0
1405,0,0
1405,0,0
1406,0,0
1429,0,0
1429,0,0
1429,25,0
1429,25,0
1447,25,0
1448,25,0
1449,25,0
1449,0,0
1476,70,17.3574
1477,0,0
1477,70,52.5
1484,0,0
1545,0,0
1545,0,0
1546,15,0
1546,0,0
1546,0,0
1547,6,0
1547,6,0
1581,0,0
1581,0,0
1587,55,36.4579
1588,224.993,77.7991
1589,225,120
1648,0,0
1648,32,0
1648,25,0
1656,91.7329,9.92691
1656,91.7329,9.92691
1658,120,73
1658,0,0
1668,111.654,73.7942
1668,111.654,73.7942
1680,0,0
1681,0,0
1681,0,0
1681,119,80
1724,0,0
1724,0,0
1724,0,0
1739,0,0
1739,12,0
1741,0,0
1742,4,0
1746,15,56.7799
1768,0,0
1769,46,35
1954,14,9.3
1954,14,9.3
1954,14,9.3
1954,4,0
1954,4,0
1954,0,0
1982,83.5712,31.1677
1982,84.1128,31.1677
1983,120.245,47.2474
1984,83.2658,60.5063
1992,0,0
1992,0,0
1993,0,0
1993,110,15
2100,40,26
2144,225,87.9849
2146,0,0
2146,143.434,89.8574
2176,0,0
2176,0,0
2176,0,0
2177,0,0
2214,32,0
2215,0,0
2235,11,0
2235,0,0
2237,0,0
2237,120,41.7798
2253,3,0
2256,4,0
2267,5,0
2271,1,0
2273,0,0
2274,50,30
2300,99.6764,62.7499
2306,0,0
2306,29,8
2306,0,0
2310,55,49
2310,0,0
2311,0,0
2316,2,0
2317,0,0
2320,0,0
2322,6,0
2323,55,15
2323,6,2
2324,5,2
2324,0,0
2337,4,0
2345,30,0
2349,12,0
2357,7,0
2366,0,0
2368,3,0
2370,3,0
2374,0,0
2375,3,1.25
2375,4,2
2377,0,0
2379,4,0
2383,1,0
2390,10,0
2400,0,0
2403,50,12
2403,55,12
2404,0,0
2404,28,10
2408,10,0
2433,4,0
2438,4,0
2447,3,0
2456,4,0
2495,2,0
2496,0,0
2496,1,0
2521,1,0
2522,0,0
2524,6,0
2525,0,0
2527,4,0
2534,0,0
2535,200,69.3662
2547,3,0
2548,0,0
2555,20,0
2573,0,0
2574,65,15
2582,0,0
2585,6,0
2591,1,0
2593,4,0
2597,31,0
2598,31,0
2600,7,0
2616,1,0
2617,1,0
2619,6,0
2621,4,0
2625,0,0
2627,6,0
2629,4,0
2630,4,0
2644,10,1.03
2649,2,0
2650,4,0
2652,0,0
2652,0,0
2652,0,0
2655,0,0
2667,94,80.5516
2679,0,0
2679,108,43.2356
2680,0,0
2684,8,2
2685,16,0
2691,10,0
2695,0,0
2698,1,0
2705,0,0
2774,0,0
2774,11,10
2781,1,0
2782,0,0
2791,1,0
2791,0,0
2794,0,0
2794,55,38.92
2794,0,0
2795,0,0
2795,0,0
2797,1,1.1944e-07
2803,3,1
2811,0,0
2814,55,35
2815,0,0
2816,0,0
2823,1,0
2826,0,0
2827,0,0
2828,1,0
2830,1,0.0999997
2833,26,0
2836,0,0
2836,13,5
2836,0,0
2842,6,0
2846,0,0
2846,55,35
2846,0,0
2847,0,0
2847,0,0
2854,0,0
2856,18,0
2857,22,0
2862,0,0
2875,4,3
2880,0,0
2880,0,0
2880,0,0
2880,16,12
2880,20,15
2887,12,6.69882
2887,0,0
2889,41,1
2894,0,0
2899,0,0
2900,2,0
2904,0,0
2905,0,0
2909,25,18.78
2909,35,25.95
2909,0,0
2915,0,0
2920,0,0
2926,0,0
2930,13,10.5
2930,5,3.75
2930,0,0
2931,0,0
2933,1,0
2934,20,9.12151
2945,0,0
2951,1,0
2957,1,0
2962,2,0.5
2969,0,0
2990,0,0
2993,3,0
2993,0,0
2997,15,0
2999,0,0.1
3008,1,0
3020,1,0
3024,0,0
3029,0,0
3034,4,0
3038,0,0
3043,0,0
3043,0,0
3043,32,18.2805
3043,40,20.1198
3045,18,2
3048,18,0
3055,0,0
3060,50,1.40289e-07
3061,0,0
3065,9,0
3067,0,0
3069,35,0
3069,0,0
3073,27,17
3073,27,17
3074,27,17
3074,0,0
3074,0,0
3074,0,0
3086,24,0
3087,24,0
3097,4,2.2
3098,0,0
3100,0,0
3100,0,0
3101,0,0
3103,150,42.8156
3113,0,-0
3114,0,-0
3115,0,-0
3116,502,-0
3117,0,-0
3118,109,-0
3119,112,0
