bus_id,Vm,Va_deg
1,1.055,-7.78727
2,1.03001,-8.32301
3,1.02967,-8.33665
4,1.0175,-12.6723
5,1.06377,-4.95582
6,1.03403,-10.0764
7,1.03402,-10.077
8,1.02568,-9.29631
9,1.0256,-9.3025
10,1.077,-5.16067
11,1.07698,-5.16014
12,1.06745,-4.92539
13,1.06749,-4.91778
14,1.04135,-10.9254
15,1.06405,-5.7537
16,1.06412,-5.75711
17,1.05374,-10.3369
18,1.06593,-5.55888
19,1.06593,-5.5785
20,0.977585,1.49079
21,1.03921,-19.7102
22,1.05072,-12.5034
23,1.05047,-12.5216
24,1.02027,-11.2414
25,1.02407,-12.2055
26,1.04129,-13.1965
27,1.01651,-11.4043
28,1.02061,-12.5087
29,1.02064,-12.5127
30,1.03897,-12.2586
31,1.03889,-12.2565
32,0.996106,-11.2395
33,1.02676,-11.0307
34,1.02673,-11.0316
35,1.02097,-14.3877
36,1.0375,-10.4802
37,1.00848,-13.3933
38,1.00842,-13.393
39,1.01147,-11.5812
40,1.01138,-11.5957
41,1.01596,-12.5717
42,1.09808,-13.0022
43,1.09807,-13.0018
44,1.09971,-12.9029
45,1.09592,-11.575
46,1.09326,-11.8525
47,1.0932,-11.863
48,1.0686,-13.4099
49,1.1,-12.8103
50,1.09642,-11.4972
51,1.09422,-13.3494
52,1.0984,-12.9678
53,1.09837,-12.9731
54,1.09418,-13.3487
55,1.0941,-13.3594
56,1.09917,-12.9289
57,1.0992,-12.8877
58,1.09916,-12.8954
59,1.06919,-13.3727
60,1.09676,-13.1114
61,1.09668,-13.1237
62,1.08624,-12.6119
63,1.08637,-12.6022
64,1.08169,-9.88453
65,1.07619,-10.6093
66,1.09391,-11.1341
67,1.09647,-11.5995
68,1.09624,-11.6259
69,1.09933,-16.2605
70,1.07873,-13.5318
71,1.09422,-8.4128
72,1.09422,-8.4128
73,1.09713,-16.5174
74,1.09378,-7.62168
75,1.07467,-10.2576
76,1.09303,-7.64261
77,1.08536,-9.50583
78,1.0869,-7.99442
79,1.08688,-7.99535
80,1.09354,-8.16493
81,1.09724,-8.29527
82,1.06677,-12.8596
83,1.08872,-8.92775
84,1.09515,-7.54216
85,1.09503,-7.53967
86,1.09601,-11.5535
87,1.1,-16.2277
88,1.09737,-16.4985
89,1.07118,-11.7905
90,1.08116,-10.3382
91,1.09398,-8.25902
92,1.094,-8.23921
93,1.08053,-12.1553
94,1.06874,-13.6452
95,1.08754,-9.4021
96,1.0869,-7.99441
97,1.07739,-10.9472
98,1.07501,-13.8922
99,1.07504,-13.895
100,1.05864,-13.6159
101,1.06574,-13.7365
102,1.06465,-12.6952
103,1.06438,-12.6869
104,1.06427,-14.0431
105,1.06435,-14.0465
106,1.06831,-15.1707
107,1.07401,-13.8933
108,1.07371,-13.884
109,1.07727,-11.9712
110,1.07996,-13.5818
111,1.09433,-5.98372
112,1.08506,-12.973
113,1.08514,-12.9298
114,1.0851,-12.9591
115,1.05183,-13.407
116,1.05194,-13.398
117,1.07464,-13.8466
118,1.0743,-13.84
119,1.02997,-14.3836
120,1.08992,-7.14649
121,1.05926,-16.8638
122,1.0721,-7.59056
123,1.07211,-7.58933
124,1.06255,-14.9401
125,1.06103,-15.143
126,1.06706,-14.5357
127,1.09575,-5.93739
128,1.0971,-5.76836
129,1.07435,-13.8961
130,1.07068,-12.6129
131,1.07303,-13.3525
132,1.1,-5.45016
133,1.0999,-5.48896
134,1.07361,-8.51824
135,1.09705,-5.73056
136,1.0485,-14.6352
137,1.08821,-6.85639
138,1.05788,-13.3901
139,1.08921,-6.76273
140,1.08934,-6.75821
141,1.09155,-6.84276
142,1.079,-7.77453
143,1.06228,-16.3691
144,1.06502,-14.8277
145,1.09386,-6.13274
146,1.0743,-13.84
147,1.07629,-11.9929
148,1.08109,-7.58016
149,1.08117,-7.56364
150,1.07252,-14.1006
151,1.04358,-16.7681
152,1.09063,-7.48256
153,1.06191,-16.493
154,1.0818,-13.33
155,1.08011,-15.5662
156,1.06226,-9.07248
157,1.07697,-14.1644
158,1.07681,-14.1779
159,1.08385,-13.6633
160,1.0674,-14.7227
161,1.0802,-13.8583
162,1.07406,-13.95
163,1.07399,-13.9546
164,1.07492,-13.8989
165,1.07367,-14.3008
166,1.0735,-14.321
167,1.07417,-7.48958
168,1.02034,-11.2417
169,1.05793,-11.2288
170,1.07808,-11.247
171,1.04349,-9.57379
172,0.9,-9.40068
173,1.08586,-18.5673
174,1.0523,-21.7635
175,1.07933,-11.4627
176,1.06007,-21.7834
177,1.05734,-21.7834
178,1.07454,-12.9855
179,1.04681,-21.4061
180,1.03136,-16.8505
181,1.02718,-21.4003
182,1.0581,-13.3479
183,1.05341,-7.68771
184,1.04551,-13.3447
185,1.05344,-7.61994
186,1.04545,-13.3447
187,1.05397,-16.3029
188,1.0587,-7.11862
189,1.0587,-7.11862
190,1.05869,-7.12199
191,1.05585,-15.8858
192,1.04666,-15.887
193,1.04666,-15.887
194,1.04632,-15.887
195,1.05784,-11.2285
196,1.04452,-11.7554
197,1.05567,-10.6864
198,1.05949,-10.9782
199,1.05617,-11.484
200,1.06227,-14.5924
201,1.06933,-15.3766
202,1.043,-21.6934
203,1.04376,-18.5081
204,1.04303,-22.1046
205,1.04629,-23.6344
206,1.05209,-17.8977
207,1.04383,-23.5255
208,1.05311,-16.7605
209,1.04677,-20.3435
210,1.04968,-19.1683
211,1.04871,-20.7592
212,1.0375,-21.2723
213,1.0435,-25.3093
214,1.05258,-22.1606
215,1.04955,-19.5973
216,1.04971,-19.3136
217,1.04926,-24.2505
218,1.04037,-21.8524
219,1.04614,-22.3518
220,1.03768,-21.2124
221,1.0485,-20.9344
222,1.04064,-21.287
223,1.04697,-16.3158
224,1.05346,-17.7286
225,1.05642,-16.424
226,1.04452,-11.7554
227,1.05801,-15.8753
228,1.0544,-8.96697
229,1.02811,-25.2334
230,1.02645,-25.9351
231,1.07441,-31.4699
232,1.03028,-24.1448
233,1.01561,-26.4002
234,1.03079,-26.254
235,1.03076,-26.2619
236,1.01351,-26.7431
237,1.01115,-26.9822
238,1.00853,-27.832
239,1.03782,-28.5972
240,1.03194,-29.7039
241,1.03208,-29.624
242,1.03718,-13.2619
243,1.03097,-26.1418
244,1.03104,-21.7314
245,1.03092,-21.7314
246,1.04871,-20.7592
247,1.04871,-20.7592
248,1.03151,-14.7851
249,1.04189,-16.7597
250,1.03207,-13.9213
251,1.03749,-18.302
252,1.03215,-28.003
253,1.03972,-19.5979
254,1.04001,-19.1691
255,1.05251,-28.7901
256,1.00985,-27.4064
257,1.06603,-7.5536
258,1.1,1.26272
259,1.1,4.78422
260,1.1,4.78422
261,1.0464,-12.5765
262,1.07187,-5.70957
263,1.03606,-12.7201
264,1.03953,-12.2548
265,1.04357,-10.3708
266,1.04559,-10.164
267,1.06532,-7.73236
268,1.0654,-7.71955
269,1.04363,-10.3679
270,1.04554,-10.167
271,1.06537,-7.73312
272,1.06543,-7.72082
273,1.0662,-7.72697
274,1.06482,-7.75845
275,1.06704,-7.81077
276,1.06514,-7.57543
277,1.06485,-7.75951
278,1.04279,-12.4815
279,1.04225,-12.5729
280,1.04431,-12.2622
281,1.0439,-12.3329
282,1.04863,-11.4919
283,1.05808,-9.82112
284,1.05994,-9.32194
285,1.06678,-7.92347
286,1.06469,-7.57513
287,1.04026,-13.3378
288,1.04104,-13.3573
289,1.04013,-13.3359
290,1.04096,-13.3567
291,1.04232,-12.965
292,1.03993,-13.5393
293,1.04137,-13.2581
294,1.03159,-13.2611
295,1.06583,-7.74773
296,1.06583,-7.74773
297,1.03437,-12.4618
298,1.04945,-9.32194
299,1.03883,-11.4951
300,1.03106,-13.3433
301,1.03124,-13.36
302,1.04827,-12.487
303,1.05513,-10.2674
304,1.05459,-7.57543
305,1.05431,-7.75951
306,1.05262,-28.7917
307,1.06679,-28.7958
308,1.03104,-21.7314
309,1.03092,-21.7314
310,1.02704,-21.2122
311,1.02124,-23.0621
312,1.02129,-23.0755
313,1.03648,-10.3989
314,1.02668,-11.67
315,1.0282,-11.9213
316,1.06124,-15.8066
317,1.05378,-16.7162
318,1.06443,-16.7162
319,1.03652,-9.96025
320,1.06415,-15.7668
321,1.02116,-15.2401
322,1.06412,-15.7651
323,1.02816,-10.6342
324,1.03561,-6.46288
325,1.02866,-10.579
326,0.959768,5.26017
327,0.909091,-10.3486
328,1.03103,-10.579
329,1.02646,-11.429
330,0.976028,-8.63581
331,1.02774,-11.7149
332,1.02774,-11.7149
333,1.0288,-10.191
334,1.02189,-9.16792
335,1.01989,-10.1982
336,1.01989,-10.1982
337,1.03646,-10.3984
338,1.04693,-10.3984
339,1.02782,-11.5761
340,1.0188,-11.5258
341,1.02216,-11.9913
342,1.00691,-11.9086
343,1.01936,-20.2118
344,1.01936,-20.2136
345,1.03423,-9.40204
346,1.03383,-9.23407
347,1.04454,-10.9877
348,1.03642,-10.3947
349,1.03644,-10.3979
350,1.0244,-11.2407
351,1.02868,-10.5802
352,1.02302,-11.4241
353,1.04472,-11.005
354,1.04422,-8.67633
355,1.04452,-10.9895
356,1.02405,-11.2285
357,1.02631,-21.8324
358,1.02637,-21.8422
359,1.02726,-21.1264
360,1.02747,-13.0115
361,1.02257,-12.0012
362,1.03385,-13.1978
363,1.01981,-20.0063
364,1.01981,-20.0043
365,1.02697,-11.6423
366,1.06125,-15.8093
367,1.05378,-16.7162
368,1.03634,-18.4058
369,1.02827,-19.1144
370,1.05384,-12.4608
371,1.06425,-15.6968
372,1.06507,-15.6704
373,1.06813,-15.5383
374,1.02896,-11.6708
375,1.06816,-15.5399
376,1.0281,-10.6088
377,1.02896,-11.6686
378,1.02826,-11.6379
379,1.02624,-11.8625
380,1.02774,-11.7148
381,1.02061,-12.3786
382,1.02176,-11.872
383,1.02277,-11.3981
384,0.976013,-8.62276
385,1.02647,-11.6255
386,1.04472,-11.005
