bus_id,Pg,Qg
1,1.59,-157.99
2,170.7,-43.9
3,46.11,-148.55
5,155.54,93.15
10,83.06,-81.3
12,137.5,46.6646
12,0,0
13,137.5,11.4584
15,0,0
18,150,112
19,250,113.172
19,0,0
19,133.33,104.696
20,464,117.322
24,192.72,-7.43258
25,0,0
32,0,0
44,55,21.412
45,68.75,15.4327
45,3,18.2586
59,14.5,-13.64
64,0,0
80,0,0
80,16.67,10
82,0,0
84,0,0
85,200,11.4774
98,0,0
98,55,24.7966
98,0,0
99,0,0
99,0,0
110,0,0
113,71.88,0.731651
115,0.999999,-79.493
120,0,0
120,0,0
120,0,0
120,-9.99927e-07,14.519
120,-9.99849e-07,18.269
124,5,2.78819
124,0,0
128,0,0
132,-9.99876e-07,-55.6637
132,207.866,75.2021
132,0,0
133,0,0
136,0,0
147,-9.99854e-07,-14.2332
153,0,0
153,0,0
153,9.0553,15.671
153,-9.99725e-07,17.6424
157,-9.99983e-07,-10.6448
157,0,0
159,12.53,0.34575
160,-9.99981e-07,-1.2661
160,-9.99781e-07,-1.2661
170,-9.99781e-07,62.8645
171,1108.43,-28.04
172,-9.99828e-07,-168.369
175,285,75.7527
176,-9.99935e-07,30.1761
177,-9.99283e-07,22.8891
178,388.5,100.38
180,432.35,-14.3847
181,-9.99885e-07,-48.3959
183,405.03,31.6394
184,-9.50453e-07,-8.13117
185,405.05,32.0066
186,-9.99915e-07,-8.35348
188,400.05,63.1684
189,400.05,63.1684
190,399.9,63.1201
192,-9.99865e-07,2.54698
193,-9.99701e-07,2.54698
194,-9.99902e-07,2.76325
197,604.904,95
198,581.26,237.47
203,789.333,-39.6369
204,0,0
204,0,0
205,0,0
205,0,0
206,1966.77,173.418
211,0,0
211,0,0
220,0,0
228,451.68,121.05
229,242.48,24.78
230,210.57,16.98
246,0,0
247,0,0
258,182.393,44.4536
259,253.13,50.4763
260,253.13,50.4763
262,412.16,134.607
307,-9.99839e-07,12.1196
316,6.19,19.34
319,4.73,-9.95
321,6.51619,-33.75
323,46.88,-24.6463
324,41.2,-1.53
326,43.13,-5.64369
327,-9.99982e-07,-21.3668
330,-9.92477e-07,-20.9576
334,18.75,1.64034
335,-9.99978e-07,1.29805
336,-9.99918e-07,1.29805
340,-9.999e-07,-9.18919
342,-9.99987e-07,-14.8445
345,0,0
346,34.71,-35.64
348,47.96,-13.1
353,2.74,-13.3555
355,0,0
359,65.12,-3.72
370,0,0
376,46.88,-6.50698
384,21.6898,-1.47362
387,47.76,33.85
388,0,0
391,24.73,6.94083
402,13.03,18.25
404,78,17.1511
422,21,3.7842
441,17.8967,97.0874
453,27.17,14.32
471,88.67,49.1584
489,113.92,-23.68
494,110,-33
494,0,0
495,0,0
495,256.25,55.1294
496,110,-30.9838
496,120,-30.9838
497,535,17.8856
498,250,199.169
502,82.84,20.73
504,233.66,-30.15
505,0,0
505,0,0
505,0,0
514,0,0
515,8.2,-8.62
516,0,0
517,88.02,11.1191
518,0,0
519,0,0
520,0,0
520,0,0
537,0,0
538,15,22.2593
538,3,28.9141
544,0,0
558,0,0
565,37,15.852
565,0,0
565,0,0
565,50,65.3565
599,135,149
600,0,0
603,0,0
603,0,0
605,0,0
624,29.14,7.36924
627,0,0
627,16.38,-7.02
630,0,0
632,0,0
635,0,0
638,0,0
640,0,0
649,0,0
651,0,0
667,108,21.8051
668,-9.99858e-07,32.5265
669,129.6,201.2
675,120,150
676,120,120
677,256.25,168.75
679,0,0
679,0,0
680,0,0
680,0,0
687,0,0
687,0,0
687,0,0
688,0,0
697,0,0
698,268.75,-8.33892
700,2.59,18.24
704,70,45.7134
704,70,45.7134
726,10.1532,121.835
727,121.92,-35.99
731,0,0
732,0,0
736,-200,-62
736,171.169,-62
736,-200,-75
737,179,-24.4798
740,0,0
743,-9.99873e-07,-30.2677
746,63.6516,5.25861
747,26,13.0322
748,-9.99289e-07,-7.43184
749,57.8779,0.891228
750,-9.99768e-07,4.38191
751,26,-17.6742
754,-9.99929e-07,-13.8032
755,-9.99981e-07,7.39506
757,0,0
762,0,0
763,197.332,3.72336
764,0,0
766,-9.99775e-07,-17.6681
768,25.7731,6.36108
769,-9.99915e-07,-20.1512
770,153.538,-1.7554
778,177.718,8.02884
785,34.7486,-31.7079
788,-9.99886e-07,-19.9136
792,-9.99628e-07,21.5411
796,-9.999e-07,-9.59645
797,-9.99984e-07,2.90758
801,0,0
801,0,0
802,0,0
805,212.64,13.1776
807,758.03,48.2011
807,752.37,47.2011
811,0,0
812,0,0
815,135,122.63
815,135,119.666
816,0,0
831,180,107.911
832,462.5,62.6844
