bus_id,Vm,Va_deg
27810,1.1,-1.33007
27811,1.1,-9.93548
27812,1.1,-8.24702
27813,1.08433,-14.6403
27814,1.1,-8.78228
27815,1.1,-7.60787
27816,1.1,-8.25216
27817,1.09817,-7.37359
27818,1.09975,-0.198844
27819,1.1,-9.43282
27820,1.08925,-7.15559
27821,1.1,-2.04932
27822,1.1,-8.317
27823,1.07942,-11.565
27824,1.09128,-13.8104
27825,1.09836,-3.40112
27826,1.09444,-11.622
27827,1.1,-7.19601
27828,1.09425,-28.6313
27829,1.09606,-8.32765
27830,1.1,-6.44628
27831,1.1,-19.8186
27832,1.09886,-6.27774
27833,1.09813,-6.96083
27834,1.09984,-6.20833
27835,1.09923,-8.83364
27836,1.1,-8.67471
27837,1.1,-8.78023
27838,1.1,-7.97842
27839,1.1,-6.79422
27840,1.09968,-6.46096e-12
27841,1.1,-5.42141
27842,1.1,-7.85755
27843,1.08502,-11.0716
27844,1.0951,-10.6407
27845,1.1,-6.15024
27846,1.07927,-10.8301
27847,1.08762,-13.5778
27848,1.1,-6.04126
27849,1.1,-30.2744
27850,1.09914,-8.8465
27851,1.07982,-13.7994
27852,1.04758,-22.1703
27853,1.05784,-12.4494
27854,1.09912,-8.85361
27855,1.1,-8.03469
27856,1.1,-8.03019
27857,1.1,-28.2455
27858,1.08387,-29.5181
27859,1.09993,-6.46119
27860,1.09672,-10.9799
27861,1.08931,-8.50206
27862,1.09928,-8.15206
27863,1.1,-7.41507
27864,1.07359,-12.7432
27865,1.09131,-4.45811
27866,1.07155,-12.1488
27867,1.07384,-9.36965
27868,1.07507,-10.8559
27869,1.07241,-7.6799
27870,1.09138,-16.0566
27871,1.07141,-10.7077
27872,1.0894,-3.88261
27873,1.0668,-14.3914
27874,1.0792,-13.8019
27875,1.07248,-10.9154
27876,1.08484,-9.03069
27877,1.09404,-6.27827
27878,1.06399,-11.5825
27879,1.07885,-27.2612
27880,1.08399,-13.8908
27881,1.05932,-14.3246
27882,1.05308,-13.0159
27883,1.08373,-10.4607
27884,1.08472,-19.7393
27885,1.06169,-14.814
27886,1.07265,-27.7246
27887,1.07165,-15.1588
27888,1.09776,-7.63307
27889,1.05877,-13.225
27890,1.09025,-29.3392
27891,1.06732,-12.1877
27892,1.06113,-12.6096
