bus_id,Vm,Va_deg
1,0.97181,-20.2412
2,1.04566,-14.2477
3,1.00153,-14.5435
4,1.04078,-6.81114
5,1.00537,-30.9472
6,1.02861,-20.3094
7,1.06122,-20.6983
8,1.04219,-3.8968
9,1.0237,-24.9016
10,1.0303,-7.18557
11,1.0303,-7.18557
12,1.01776,-0.360817
13,1.0773,-3.94148
14,1.07016,-9.61005
15,1.02701,-23.6414
16,1.05992,-25.42
17,1.04633,-21.2203
18,0.924444,-12.8857
19,1.03595,-15.6815
20,0.925274,-12.9168
21,1.04791,-14.5078
22,1.00926,-8.37407
23,1.00414,-20.679
24,1.04015,-5.43653
25,1.03562,-5.04552
26,1.03159,-12.0965
27,1.07439,-8.48734
28,1.02502,-16.4007
29,1.03623,-20.6731
30,1.03443,-6.78613
31,1.03105,-17.3884
32,1.02752,-10.935
33,1.04027,-13.782
34,1.0365,-14.1584
35,1.05503,-10.3648
36,1.0525,-9.3242
37,1.01127,-23.6563
38,1.02967,-7.93493
39,1.02333,-18.962
40,1.06697,-7.94102
41,1.08789,-9.01016
42,1.10518,4.02256
43,1.05855,-6.46433
44,1.03341,-29.567
45,1.02383,-16.0174
46,1.00872,-17.2206
47,1.00382,-17.4893
48,1.02475,-7.01391
49,1.04262,-13.0426
50,1.05198,-20.0378
51,1.03816,-15.6522
52,1.02998,-17.322
53,1.01965,-8.4585
54,1.05626,-9.36164
55,1.07077,-8.78616
56,1.0493,-7.87068
57,1.05061,-20.7218
58,1.07058,-8.79765
59,1.01005,-11.9872
60,1.04072,-7.37144
61,1.02615,-8.51704
62,1.03609,-6.80773
63,0.99036,0.349275
64,1.0451,-1.27779
65,1.03718,-8.95097
66,1.05936,-20.0768
67,1.02577,-14.799
68,1.02458,-15.6877
69,1.06349,-29.4953
70,1.029,0.177946
71,1.0268,-9.02894
72,1.07992,-0.101934
73,1.07992,-0.101934
74,1.04502,-1.2253
75,1.06587,-8.05878
76,1.05602,3.23326
77,1.04592,-14.2514
78,1.05191,-25.2885
79,1.02767,-6.34954
80,1.07164,-6.66503
81,1.07165,-6.6647
82,1.03778,-13.5191
83,1.06729,-7.90267
84,1.04933,-12.6186
85,1.05269,-16.4794
86,1.03505,-23.6113
87,1.01301,0.499571
88,1.04205,-15.8764
89,1.06152,-8.87381
90,0.924007,-13.9721
91,0.924444,-12.8857
92,1.05062,-17.067
93,0.95557,-17.2106
94,1.06359,-11.1554
95,1.03149,-16.9011
96,1.02015,-14.8499
97,1.06378,-21.7168
98,1.03824,-10.8689
99,1.02975,-8.11593
100,1.00691,-20.3416
101,1.05037,-14.4443
102,1.0309,-18.0464
103,1.02934,-6.55483
104,1.06479,-4.18042
105,1.01914,-2.89812
106,1.0205,-7.02063
107,1.08444,-22.4827
108,1.06373,-3.71137
109,1.0591,-13.4151
110,1.0435,-10.9086
111,1.02739,-20.5318
112,1.03821,-10.5843
113,1.07631,-8.25947
114,1.03722,-20.4855
115,1.07731,-3.94157
116,1.07731,-3.94157
