bus_id,Vm,Va_deg
1,1.0686,-16.8537
2,1.03361,-20.4314
3,1.03983,-20.0601
4,1.0382,-20.1717
5,1.05018,-21.1912
6,1.03982,-20.0612
7,1.03499,-20.481
8,0.995523,-24.0901
9,1.01196,-22.4446
10,1.04218,-18.9599
11,1.03312,-20.7553
12,1.03229,-20.6757
13,1.00352,-24.267
14,1.03054,-20.7752
15,1.01198,-22.4457
16,0.998496,-24.1683
17,0.991491,-24.6193
18,0.998662,-24.1564
19,1.00113,-23.5306
20,0.997582,-23.5642
21,1.0067,-22.9912
22,1.04625,-19.4357
23,0.998197,-24.1312
24,1.00448,-23.7012
25,0.987567,-25.3071
26,0.999077,-22.17
27,1.00152,-23.0266
28,0.98519,-25.2744
29,0.980406,-26.0617
30,0.987582,-25.232
31,0.99294,-22.9317
32,1.04387,-23.0351
33,1.04251,-19.8572
34,1.05974,-17.7144
35,1.03487,-22.7118
36,1.03811,-23.2258
37,1.04235,-22.6427
38,1.03249,-24.7147
39,1.03178,-24.64
40,1.0313,-24.7652
41,1.04113,-22.1105
42,1.05221,-18.9174
43,1.01931,-22.8378
44,1.01946,-24.4364
45,1.02154,-22.0141
46,1.03486,-23.1292
47,1.03645,-22.9887
48,1.04008,-20.0622
49,1.03097,-24.7012
50,1.00914,-26.8095
51,1.01692,-21.7865
52,1.02028,-22.1212
53,0.992229,-27.5997
54,1.00377,-27.5051
55,1.00205,-27.0738
56,1.02414,-24.539
57,0.993748,-27.3785
58,1.00169,-20.2122
59,1.00055,-27.2198
60,1.01262,-25.5561
61,1.00417,-23.4032
62,0.988418,-26.1981
63,0.998993,-27.8291
64,0.997907,-27.9476
65,1.00665,-26.9085
66,0.997092,-26.5558
67,1.01637,-24.6009
68,0.975047,-29.0317
69,0.984048,-28.5097
70,1.00811,-26.9058
71,0.996421,-21.3254
72,0.989385,-23.9657
73,1.00224,-23.4896
74,1.03853,-27.5879
75,1.03254,-25.6175
76,1.04786,-24.967
77,1.04611,-26.8943
78,1.03995,-27.3889
79,1.04339,-25.5309
80,1.03991,-27.8916
81,1.03474,-28.0499
82,1.02375,-29.42
83,1.02515,-27.4312
84,1.03685,-25.6106
85,0.994896,-31.6209
86,1.03358,-27.0555
87,1.04228,-25.5346
88,1.00639,-30.792
89,1.01391,-28.2127
90,1.02005,-30.0012
91,0.998224,-31.9134
92,1.00657,-28.3578
93,1.03217,-28.7233
94,0.98654,-31.1642
95,1.00576,-30.5646
96,1.00914,-28.4168
97,0.99844,-32.7496
98,1.02195,-29.1477
99,0.987067,-32.3445
100,1.00573,-29.5703
101,1.01324,-29.8878
102,1.02709,-27.1931
103,1.00551,-33.1035
104,1.00151,-31.0813
105,1.0347,-23.8338
106,1.04268,-23.8607
107,1.04321,-23.6606
108,1.04204,-23.9069
109,1.03024,-25.0392
110,1.04311,-23.7026
111,1.04736,-25.1523
112,0.998407,-30.9237
113,0.991861,-26.9769
114,0.979538,-31.2717
115,0.996913,-27.732
116,1.02094,-23.7215
117,1.01615,-24.3571
118,1.01111,-24.2046
119,1.04504,-22.0147
120,1.03164,-22.8848
121,1.00403,-24.7592
122,1.02053,-23.7404
123,1.00399,-22.8106
124,0.997598,-30.1217
125,0.99741,-26.2058
126,1.01731,-26.0217
127,1.01846,-23.3083
128,1.02271,-22.0024
129,1.00074,-24.1912
130,0.983069,-28.7307
131,0.980193,-30.309
132,0.97091,-24.7728
133,0.969653,-24.7974
134,0.973786,-24.7455
135,0.979955,-24.3919
136,0.976641,-24.5853
137,0.971429,-24.9674
138,0.972856,-24.9499
139,0.991583,-23.0033
140,0.980125,-24.2863
141,0.980185,-24.3477
142,0.978799,-24.4147
143,0.980373,-24.2865
144,0.980576,-24.2898
145,0.973619,-24.8396
146,0.971672,-24.969
147,0.98988,-23.2059
148,0.981041,-24.32
149,0.988591,-24.3662
150,0.983259,-24.3083
151,0.981129,-24.3844
152,0.984799,-24.3397
153,0.985522,-24.2663
154,0.98538,-24.2976
155,1.00023,-23.003
156,0.984808,-24.2363
157,0.985545,-24.227
158,0.983088,-24.2481
159,0.983123,-24.3344
160,0.978437,-24.4377
161,0.97904,-24.425
162,0.990487,-23.1626
163,0.979575,-24.4266
164,0.983302,-24.2354
165,0.980308,-24.4267
166,0.97999,-24.4484
167,0.97997,-24.4461
168,0.980615,-24.4264
169,0.980384,-24.4242
170,0.998863,-22.1838
171,0.980054,-24.434
172,1.00252,-22.8846
173,0.991366,-23.8883
174,0.986637,-24.1489
175,0.983572,-24.2996
176,0.987184,-24.1631
177,0.989839,-24.1292
178,0.986877,-24.0802
179,1.00348,-22.8214
180,0.988517,-24.0646
181,1.00369,-23.1672
182,1.00324,-23.1855
183,1.01086,-22.3084
184,1.00126,-23.2623
185,0.998021,-23.3232
186,0.9984,-23.3193
187,1.00546,-22.7063
188,0.997896,-23.3911
189,0.999155,-23.3441
190,1.00034,-23.2999
191,1.0055,-23.1238
192,1.00216,-23.2143
193,1.00923,-22.4045
194,1.0087,-22.4355
195,0.996786,-23.4208
196,0.997987,-23.4102
197,0.998681,-23.4087
198,1.01049,-22.3258
199,1.01191,-22.2422
200,0.994913,-23.6587
201,0.994187,-23.6907
202,0.993282,-23.702
203,1.00102,-23.3525
204,1.00825,-22.9714
205,1.00251,-23.3324
206,1.00286,-23.2513
207,0.999334,-23.2715
208,1.01382,-22.137
209,1.01562,-22.0304
210,1.01811,-21.8764
211,1.01457,-22.0932
212,1.01702,-21.957
213,1.02128,-21.7089
214,1.01252,-22.5809
215,1.01708,-22.1404
216,1.01957,-21.9396
217,1.01946,-21.946
218,1.01759,-21.983
219,1.0223,-21.6946
220,1.02742,-21.3451
221,1.02648,-21.4048
222,1.03703,-20.3431
223,1.02231,-21.7007
224,1.02588,-21.4288
225,1.02852,-21.166
226,1.02506,-21.4436
227,1.02579,-21.4244
228,1.02969,-21.0769
229,1.0227,-21.6954
230,1.02969,-21.0664
231,1.02777,-21.2657
232,1.03092,-20.947
233,1.02372,-21.6739
234,1.03893,-20.1425
235,1.03652,-20.3301
236,1.03689,-20.3065
237,1.03958,-20.0794
238,1.02267,-21.758
239,1.03738,-20.2588
240,1.03112,-20.9638
241,1.03115,-20.957
242,1.02305,-21.7506
243,1.02986,-21.0487
244,1.02431,-21.6455
245,1.02139,-21.8079
246,1.02916,-21.1029
247,1.02978,-21.0558
248,1.02819,-21.1767
249,1.02763,-21.2191
250,1.02055,-21.8409
251,1.02666,-21.2921
252,1.02543,-21.3837
253,1.01973,-21.8992
254,1.0201,-21.8698
255,1.02906,-21.0591
256,1.02047,-21.807
257,1.02037,-21.7795
258,1.02147,-21.7026
259,1.02143,-21.7093
260,1.02167,-21.7164
261,1.02213,-21.6903
262,1.02196,-21.6912
263,1.0303,-20.9713
264,1.02205,-21.6564
265,1.0307,-20.956
266,1.02947,-21.0525
267,1.03069,-20.9483
268,1.03102,-20.8982
269,1.0217,-21.6821
270,1.02076,-21.6908
271,1.03004,-20.9412
272,1.02812,-21.0324
273,1.02963,-20.9385
274,1.02277,-21.5854
275,1.03028,-20.7898
276,1.02236,-21.6294
277,1.02122,-21.7005
278,1.02265,-21.5787
279,1.02395,-21.4736
280,1.02611,-21.2218
281,1.0169,-22.21
282,1.02014,-21.8608
283,1.01845,-22.0243
284,1.01381,-22.0594
285,1.01663,-22.01
286,1.01556,-22.0221
287,1.02104,-21.7434
288,1.01376,-22.456
289,1.01144,-22.6371
290,1.00879,-22.8344
291,1.01473,-21.9994
292,1.0135,-22.4994
293,1.01872,-22.0609
294,1.02062,-21.8983
295,1.03535,-20.3949
296,1.02289,-21.6217
297,1.02396,-21.424
298,1.02231,-21.6062
299,1.00869,-22.8134
300,1.0216,-21.6858
301,0.988984,-24.8549
302,1.00204,-23.5422
303,0.99288,-24.3788
304,1.00365,-23.3988
305,0.98332,-25.0788
306,0.984244,-25.1327
307,0.987161,-25.0231
308,0.985253,-25.3696
309,0.999011,-23.8151
