bus_id,Pg,Qg
1,945.913,367.315
1,646.568,303.689
2,422.942,190.977
3,351.549,202.63
3,129.859,64.6613
4,254.92,139.481
4,254.92,139.481
5,226.355,127.671
5,226.355,127.671
5,226.355,127.671
6,150.814,74.0904
6,141.861,68.6113
6,141.861,68.6113
7,215.804,133.377
7,94.9942,56.5985
7,388.264,185.506
8,86.7119,61.3782
9,70.0305,13.8186
10,256,4.36896
10,57.2948,14.0653
11,46.547,18.6849
13,31.8267,13.2896
13,45.6527,21.2421
14,35.2278,10.4478
14,35.2278,10.4478
14,35.2278,10.4478
14,35.2278,10.4478
15,35.5921,17.7578
15,35.5921,17.7578
15,35.5921,17.7578
15,35.5921,17.7578
15,35.5921,17.7578
16,37.4246,14.8033
16,37.4246,26.3136
17,39.1126,15.8841
17,28.3048,11.3088
18,31.5706,13.0162
18,31.5706,13.0162
18,31.5706,13.0162
18,31.5706,23.6297
19,36.111,12.5436
20,20.5784,0
21,4.58034,1.15448
21,4.58034,1.15448
21,4.58034,1.15448
21,4.58034,1.15448
23,20.6287,9.8958
25,23.5152,12.5071
26,19.7804,8.95215
26,19.7804,8.95215
26,19.7804,8.95215
27,19.6963,5.75494
28,19.5411,9.16994
29,19.9631,9.48903
30,15.9469,9.32032
31,19.8022,7.36511
31,19.5613,7.36511
31,22.5252,10.0095
31,22.5252,10.0095
31,22.3899,10.0095
32,359.27,151.953
32,378.62,200.655
33,70.4841,21.0466
33,65.5181,22.5315
33,65.5181,22.5315
33,65.5181,22.5315
33,63.5878,21.0466
33,63.5878,21.0466
33,63.5878,21.0466
33,63.5878,21.0466
33,66.3582,28.7036
33,65.5181,22.5315
33,65.5181,22.5315
33,65.5181,22.5315
34,260.922,97.856
34,260.922,97.856
35,270.446,182.471
36,244.56,146.541
36,244.56,146.541
37,236.187,140.672
37,236.187,140.672
38,479.934,262.94
38,220.371,139.429
38,220.371,139.429
38,220.371,139.429
38,220.371,139.429
38,226.689,161.31
38,226.689,161.31
39,204.849,137.269
39,204.849,137.269
39,181.761,159.055
40,17.0348,4.07077
40,20.7685,6.1319
40,14.3132,6.86799
40,63.3435,31.4033
40,63.3435,31.4033
40,63.3435,31.4033
40,146.765,85.9615
41,253.275,173.226
41,169.458,69.4916
41,169.458,69.4916
41,491.814,153.231
42,180.279,46.2794
42,180.279,46.2794
42,180.279,46.2794
42,180.279,46.2794
43,181.502,49.3156
43,100.424,20.8538
44,155.185,81.5781
45,107.746,58.432
47,108.887,11.4772
47,108.887,11.4772
47,89.3988,11.4772
50,43.5595,16.1508
51,9.13962,2.55487
51,9.13962,2.55487
51,9.13962,2.55487
51,9.13962,2.55487
51,9.13962,2.55487
51,9.13962,2.55487
52,78.4221,38.822
52,43.6851,15.7451
52,43.6851,15.7451
53,52.9594,27.6602
53,21.1052,10.2247
54,32.9547,23.4137
56,33.7988,13.0422
56,33.7988,13.0422
56,33.7988,13.0422
57,10.247,3.83957
57,10.247,3.83957
57,10.247,3.83957
58,33.0137,5.34117
58,33.0137,5.34117
58,33.0137,5.34117
58,31.1873,8.4371
59,29.0495,15.1112
60,22.1,4.87714
60,38.5023,12.5422
61,12.757,4.39917
61,12.757,4.39917
62,8.40659,4.76653
62,8.40659,4.76653
62,8.40659,4.76653
63,6.36693,3.23597
63,6.36693,3.23597
63,6.36693,3.23597
64,18.0235,4.71204
64,18.0235,4.71204
65,4.61853,1.29816
65,6.92375,2.40014
65,4.61853,1.29816
65,4.61853,1.29816
65,4.61853,1.29816
65,4.61853,1.29816
65,4.61853,1.29816
65,9.64801,2.86239
65,9.64801,2.86239
65,6.92375,2.40014
66,22.0527,9.66136
67,82.8131,21.1683
67,13.2004,2.6342
67,25.6641,5.94342
68,4.81278,0
68,4.81278,0
68,4.81278,0
69,37.4704,8.47228
69,18.8509,8.03839
71,18.0886,6.3091
75,145.279,62.0698
75,145.279,62.0698
75,136.822,67.4935
77,129.52,63.779
77,129.52,63.779
77,132.29,72.3038
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
78,2.80425,0.354374
79,62.3464,17.1991
82,37.0203,6.21301
83,47.0828,22.7474
83,47.0828,22.7474
83,47.0828,22.7474
84,365.746,117.378
84,72.2188,23.2047
84,30.0959,8.51726
84,30.0959,8.51726
85,39.7253,18.2242
85,58.763,36.7594
86,35.8748,14.8997
87,5.79552,0.595716
87,5.79552,0.595716
87,5.79552,0.595716
87,5.79552,0.595716
87,5.79552,0.595716
87,5.79552,0.595716
88,28.8817,7.28284
89,31.6264,10.5814
90,28.7784,5.06707
91,28.5875,17.7316
93,23.9796,9.2307
93,23.9796,9.2307
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
94,1.57234,0.0317768
95,8.89107,2.7297
95,8.89107,2.7297
96,7.71214,1.48689
96,7.71214,1.48689
98,17.6715,5.2755
99,3.00507,0.946801
99,3.00507,0.946801
99,3.00507,0.946801
99,3.00507,0.946801
99,3.00507,0.946801
99,3.00507,0.946801
100,16.9704,2.5234
101,16.6494,6.00348
102,17.4612,4.87325
102,17.4612,4.87325
102,19.8695,6.39907
104,15.6763,6.35795
105,1071.01,378.046
106,249.695,151.359
107,215.76,132.062
107,215.76,132.062
107,201.954,138.104
108,159.345,72.7268
108,147.042,75.2935
108,147.042,75.2935
109,42.5669,10.8265
109,31.907,10.8265
109,31.907,10.8265
109,13.1781,3.67239
110,11.4354,3.79213
110,11.4354,3.79213
110,97.5161,45.8665
110,292.581,136.902
112,20.9221,13.0065
113,17.6184,4.96616
114,14.314,5.30683
115,17.2805,8.81823
116,163.765,89.163
116,163.765,89.163
116,109.277,94.1216
117,142.097,75.4846
117,76.2565,30.6795
118,42.9026,14.1919
118,42.9026,14.1919
118,43.8271,14.9918
118,89.9308,41.0318
118,89.9308,41.0318
118,89.9308,41.0318
119,61.4492,23.9823
119,61.4492,23.9823
119,61.0924,26.4137
120,66.6442,22.1523
120,66.6442,22.1523
120,64.8361,24.382
124,35.5412,23.9269
125,9.5518,5.40169
125,9.5518,5.40169
125,9.5518,5.40169
126,8.15664,1.16481
126,8.15664,1.16481
126,8.15664,1.16481
128,9.60604,2.51019
128,9.60604,2.51019
128,9.60604,2.51019
129,16.5294,5.46411
130,2.44243,0
130,2.44243,0
130,2.44243,0
130,2.44243,0
130,2.44243,0
130,2.44243,0
131,18.2107,0
3502,1204.14,839.699
3503,918.63,627.202
3504,539.925,75.5538
3504,539.907,75.5538
3505,600.189,0
3506,436.605,185.541
3507,418.931,187.131
3508,736.317,128.488
3508,387.754,103.782
3509,559.39,233.779
3509,559.049,233.779
3510,442.932,121.32
3510,442.933,121.32
3511,418.728,236.922
3512,89.6662,19.4055
3512,161.749,59.2567
3512,161.749,59.2567
3512,71.455,20.2087
3512,71.455,20.2087
3512,71.455,20.2087
3513,348.87,170.251
3513,348.87,170.251
3513,348.87,170.251
3513,348.724,170.251
3514,508.881,240.42
3514,316.488,237.683
3515,174.36,104.43
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,174.36,104.43
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3515,22.6668,8.01583
3516,111.288,12.4852
3516,111.288,12.4852
3516,111.288,12.4852
3516,230.178,9.50949
3516,230.178,9.50949
3516,230.178,9.50949
3517,183.122,0
3517,183.122,0
3517,183.122,0
3517,183.122,0
3518,122.327,41.2086
3518,166.339,55.294
3519,167.454,127.668
3519,126.158,95.6493
3519,156.463,90.002
3519,156.463,90.002
3520,148.171,0
3520,334.219,0
3520,344.95,0
3520,344.95,0
3521,75.8718,44.3958
3521,75.8718,44.3958
3521,50.8209,26.0325
3521,50.8209,26.0325
3521,26.2653,11.9001
3521,26.2653,11.9001
3521,25.4367,13.0224
3522,145.233,77.6919
3522,145.233,77.6919
3522,246.808,146.153
3523,18.685,7.57052
3523,31.7011,16.1743
3523,31.7011,16.1743
3523,31.7011,16.1743
3523,31.7011,16.1743
3523,31.7011,16.1743
3523,31.7011,16.1743
3523,153.071,91.0874
3523,73.685,36.9132
3523,18.685,7.57052
3523,18.685,7.57052
3523,15.1001,5.96806
3523,15.1001,5.96806
3523,15.685,6.28529
3523,15.685,6.28529
3523,31.7011,16.1743
3523,31.7011,16.1743
3524,142.604,90.2121
3524,142.604,90.2121
3524,212.961,142.236
3525,132.435,0
3525,132.435,0
3525,149.182,0
3526,128.631,33.7501
3526,128.631,33.7501
3526,128.631,33.7501
3526,128.774,33.7952
3526,120.829,16.9639
3526,120.829,16.9639
3527,159.713,75.6417
3527,147.875,77.5818
3528,17.9206,5.47075
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,31.5955,10.0597
3528,17.9206,5.47075
3528,20.7965,6.67947
3528,20.656,6.67947
3528,20.516,6.67947
3528,20.4694,6.67947
3528,17.9206,5.47075
3528,17.9206,5.47075
3528,17.9206,5.47075
3528,17.9206,5.47075
3528,17.9206,5.47075
3528,31.5955,10.0597
3528,31.5955,10.0597
3529,15.3607,7.38771
3529,18.448,9.28542
3529,15.3607,7.38771
3529,15.3607,7.38771
3529,15.3607,7.38771
3529,15.3607,7.38771
3529,15.3607,7.38771
3529,18.448,9.28542
3529,18.448,9.28542
3529,18.448,9.28542
3530,113.667,36.9599
3531,37.7148,0
3531,37.7148,0
3531,112.245,0
3531,112.245,0
3532,102.747,52.695
3532,102.747,52.695
3532,50.6261,16.7482
3532,49.4736,16.7482
3533,104.829,53.1725
3534,100.813,22.5889
3535,40.2998,0
3535,87.9017,0
3536,55.7534,11.1302
3537,43.2905,7.01176
3537,51.5553,10.5885
3538,88.6907,26.924
3540,49.8005,-0.192292
3541,209.027,95.2331
3541,209.027,95.2331
3541,88.1504,41.5528
3541,88.1504,41.5528
3542,67.044,3.66364
3542,67.044,3.66364
3542,51.2761,3.66364
3543,47.6786,20.8744
3543,82.6246,41.3654
3544,81.668,31.2273
3545,73.5194,44.2672
3545,72.5798,44.2672
3545,72.3011,44.2672
3547,104.77,34.5082
3547,179.091,67.9623
3547,48.7357,13.6011
3547,49.6439,13.9957
3548,32.7359,4.87217
3548,55.3961,12.3679
3549,60.1552,20.2522
3549,42.6333,12.662
3550,58.2434,11.1279
3550,32.22,4.86808
3551,56.339,13.3033
3551,41.7543,8.47877
3553,50.1917,0
3554,40.3051,2.7592
3554,53.4225,3.75801
3555,36.7456,12.8223
3556,37.8013,2.1558
3556,50.7695,2.43065
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3557,28.5516,0
3558,50.188,17.4547
3558,47.8384,17.4547
3558,49.6691,17.4547
3558,49.6326,17.4547
3558,49.5599,17.4547
3558,48.9889,17.4547
3558,48.6761,17.4547
3558,48.4031,17.4547
3558,48.1016,17.4547
3558,48.0684,17.4547
3559,37.0582,10.5062
3559,52.1195,17.5421
3560,48.4627,3.85616
3563,44.2003,22.4715
3564,104.141,63.9373
3564,104.141,63.9373
3564,45.0226,10.2449
3564,45.0226,10.2449
3566,46.1919,16.3597
3567,49.0392,17.9543
3572,13.9031,5.13974
3572,13.9031,5.13974
3572,13.9031,5.13974
3573,17.6889,2.43697
3573,33.301,9.70836
3573,33.301,9.70836
3575,45.7256,17.3468
3577,34.4761,22.393
3578,38.2979,0
3578,38.2979,0
3579,39.057,0
3579,39.057,0
3580,32.8297,0
3581,40.2371,0
3581,40.2371,0
3582,40.4065,0
3582,40.4065,0
3583,41.5092,0
3584,36.4783,0
3585,43.4821,7.03988
3585,17.4176,2.90331
3586,35.4247,15.1653
3588,40.4234,14.1509
3588,40.2164,14.7846
3589,8.9738,3.17947
3589,8.9738,3.17947
3589,8.9738,3.17947
3590,33.9767,14.8635
3591,5.60282,2.64984
3591,5.60282,2.64984
3591,5.60282,2.64984
3591,5.60282,2.64984
3591,5.60282,2.64984
3592,36.6394,11.5581
3592,19.6394,5.36379
3594,35.6425,8.08053
3594,17.6079,3.02071
3595,32.7171,4.96828
3596,15.4341,5.74399
3596,15.4341,5.74399
3597,31.9187,8.62573
3598,14.2611,5.41413
3598,14.2611,5.41413
3599,3.57385,1.49087
3599,3.57385,1.49087
3599,3.57385,1.49087
3599,3.57385,1.49087
3599,3.57385,1.49087
3599,3.57385,1.49087
3600,6.0099,1.90354
3600,6.0099,1.90354
3600,6.0099,1.90354
3600,6.0099,1.90354
3601,6.96419,4.23527
3601,6.96419,4.23527
3601,6.96419,4.23527
3602,28.3211,16.7212
3603,21.9025,2.21107
3604,19.7129,3.34793
3604,40.4895,10.1412
3604,106.882,41.2688
3604,65.4805,22.9462
3605,7.27295,1.81879
3605,7.27295,1.81879
3605,7.27295,1.81879
3607,19.3007,0
3608,6.0984,2.05209
3608,6.0984,2.05209
3608,6.0984,2.05209
3608,6.0984,2.05209
3608,18.7025,10.2109
3609,20.009,7.85252
3610,15.5266,8.18044
3611,9.58618,1.15263
3611,9.58618,1.15263
3613,13.9378,7.49967
3614,20.2139,1.61436
3614,20.2139,1.61436
3615,16.5997,4.10846
3615,16.5997,4.10846
3616,14.9853,10.1291
3617,5.63567,0
3617,5.63567,0
3617,5.63567,0
3618,6.89425,3.4353
3618,6.89425,3.4353
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.3612,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3619,19.4325,0
3620,13.6246,2.53553
3620,13.6246,2.53553
3621,4.90352,2.0626
3621,4.90352,2.0626
3621,4.90352,2.0626
3623,10.8404,2.03684
3624,17.535,4.38067
3625,11.5417,5.68437
3626,7.37488,3.24527
3626,7.37488,3.24527
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,17.9298,0
3627,17.9298,0
3627,17.4952,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3627,18.1074,0
3628,13.6934,0
3628,13.6934,0
3628,13.6934,0
3628,13.6934,0
3628,13.6934,0
3628,13.6934,0
