bus_id,Vm,Va_deg
1,1.06324,-46.4899
2,1.05162,-26.3408
3,1.09318,-3.35292
4,1.08418,-52.2412
5,1.11488,-43.8943
6,0.992199,-42.0166
7,1.08593,-15.109
8,1.07909,-37.8922
9,1.09622,-36.3068
10,1.09768,-45.5908
11,1.13453,-28.3191
12,1.09738,-28.3324
13,1.06397,-19.7152
14,1.08989,-11.9942
15,1.0603,-33.1994
16,1.09923,-19.6785
17,1.03563,-5.64416
18,1.06572,-28.6753
19,0.986681,-36.0548
20,1.0714,-19.6299
21,1.12531,-5.52448
22,1.14211,17.0049
23,0.990058,-39.2492
24,1.10475,-13.3156
25,1.03923,-39.1852
26,1.00977,-35.3808
27,1.06963,-2.3307
28,1.01939,-8.00346
29,1.08342,-28.6219
30,1.11904,-31.519
31,1.10813,-24.8605
32,1.01928,-26.5332
33,1.15311,-15.3994
34,1.07199,-5.46491
35,1.1,-29.9303
36,1.12336,-13.2473
37,1.08923,-13.5438
38,1.10895,-28.4343
39,1.01137,-26.1933
40,1.04647,-32.1884
41,1.059,-32.8906
42,1.08405,-43.4954
43,1.02927,-13.4092
44,1.09852,-22.393
45,1.13103,2.91079
46,1.11049,-37.6522
47,1.0535,-19.7798
48,1.02325,-27.137
49,1.13541,-18.6906
50,1.11381,-10.2731
51,1.08974,-20.9697
52,1.04088,13.2654
53,1.02807,-31.5963
54,1.03311,-7.06325
55,1.0507,-29.1891
56,1.01962,-34.9517
57,1.08015,-23.0352
58,1.13855,-20.0581
59,0.984609,-21.815
60,1.09547,-24.4522
61,1.12378,-20.7223
62,1.05286,-20.5474
63,1.00565,-33.5018
64,1.0163,-34.0011
65,1.08687,-17.0638
66,1.15307,-15.3737
67,1.08239,-13.6621
68,1.03674,-22.9568
69,1.06257,-15.3545
70,1.09405,-34.0905
71,0.937942,18.9926
72,1.06096,-35.4873
73,1.0755,-16.6053
74,1.10311,-29.4119
75,1.0996,-36.9572
76,1.02377,-17.3405
77,1.05528,-29.4796
78,1.01344,-14.4158
79,1.11095,-29.4321
80,1.12755,-21.4662
81,1.0287,-11.6591
82,1.11669,-30.3268
83,1.09366,-29.9802
84,1.08264,-39.6016
85,1.07209,-8.36942
86,1.07078,-16.5605
87,1.06771,-22.8094
88,1.10346,-28.3271
89,0.991589,-34.4503
90,1.07865,-37.9164
91,1.08353,-52.4979
92,1.0175,-44.4879
93,1.05419,-56.8733
94,1.10664,-40.8605
95,1.16334,-28.0769
96,1.08899,11.9841
97,1.05502,-17.5805
98,0.987075,-40.0538
99,1.05595,-27.4485
100,1.03354,-24.6636
101,0.922841,-23.3537
102,1.16268,-29.9721
103,1.06108,-25.2998
104,1.03968,-16.7203
105,1.11371,-12.7798
106,1.12066,-23.4081
107,1.07717,-32.538
108,1.06946,-17.9483
109,1.0536,-28.1799
110,1.10618,7.45176
