bus_id,Pg,Qg
2,-108.53,-20.45
6,400,374.114
8,524.68,9.56005
18,166.67,212.97
25,7.94719e-07,179.43
32,5.30397e-08,-4.55988
33,5.38,2.26986
39,4.97294e-08,3.12792
49,3.4714e-07,-2.44039
51,100,5.47981
80,100,1.1487
107,200,-113.79
123,40,-6.05999
124,333.33,-106.682
141,-47.9999,-6.26597
142,180,5.29082
147,-21.33,-29.4999
150,5.40667e-07,-5.36174
151,100,12.149
166,300,127.67
179,-238.93,-51.7155
190,3.62423e-07,37.8132
192,8.62374e-05,-28.833
194,100,46.7964
197,6.9881e-07,-59.5264
201,5.54145e-07,-1.06962
209,4.76193e-08,14.5029
214,100,-52.89
219,1720.35,-138.965
220,900,-146.95
221,400,-65.3
222,100,12.157
239,-9.4,38.52
246,800,59.9828
248,-229.33,-12.3497
255,166.67,-85.8898
262,100,38.0998
263,100,-6.94999
278,-85.47,4.69266
282,2000,-218.932
289,4.5871e-08,-10.81
294,160,7.7983
299,1600,99.0327
309,2.39249e-06,42.62
310,700,294.015
313,6.72714e-07,-2.26202
320,1812,-152.487
324,200,95.32
325,100,1.92993
328,100,3.11608
338,2.39106e-06,-19.1599
347,5.4125e-07,8.27106
348,5.20482e-07,-1.12349
352,666.67,70.698
361,133.33,13.9642
366,65.33,-63.8371
372,100,77.1003
382,4.0083e-07,-11.44
389,5.9032e-06,7.94342e-05
394,933.33,214.692
406,4.57609e-06,22.22
409,100,-29.67
411,5.4408e-08,4.19246
413,9.02127e-07,7.36112
423,-25.6,5.21952
424,700,304.38
433,500,217.18
434,-3.73,-3.24993
438,100,-16.1473
439,3.01022e-07,-11.8815
440,1.93421e-07,-0.0153511
442,-53.8,1.94976
447,40,4.81331
452,100,37.8599
453,0.000157228,257.23
456,100,-16.0251
484,300,23.7545
489,-143.2,6.27943
491,2.92446e-06,94.56
505,116.03,1.78034
511,4.0871e-06,56.4639
515,200,72.4978
516,600,188.788
518,-547.07,71.3153
524,6.63719e-08,30.1499
541,2.82022e-07,-27.19
564,100,-19.35
578,-147.07,25.8599
583,-360,17.88
587,133.33,59.1373
590,67.13,312.71
615,40,-7.78995
616,160,98.1875
618,800,175.414
628,180,64.1679
636,4.86094e-07,15.8666
637,4.408e-08,11.1995
639,100,135.52
642,1.36221e-06,9.56642
648,1.52986e-07,-11.87
672,3.13448e-07,19.515
682,2.30803e-07,-11.06
686,99.9999,5.22378
692,133.33,-62.7899
697,800,33.2099
698,300,25.5697
709,5.09236e-08,-20.8299
711,100,200.088
713,2.00009e-07,8.95206
714,800,51.2149
715,366,-68.2474
727,266.67,40.756
728,5.02818e-08,-2.71775
735,5.37857e-07,7.21962
738,311.39,107.858
739,500,-93.448
749,1.3641e-06,-5.06751
751,300,21.3005
757,120,-23.409
763,60,0.151639
764,400,2.25242
765,180,54.6761
774,141.12,-5.9395
776,-148.53,-6.72953
778,1.15178e-06,-9.35991
779,1.20253e-06,17.3393
780,80,37.4299
791,1200,-78.6057
795,80,13.4974
796,4.97261e-07,22.3768
803,-118.93,11.5623
807,2000,-116.457
813,602,309.08
823,2000,65.9589
828,2.24186e-07,-22.43
831,2.49547e-07,29.2556
832,600,160.447
837,4.35169e-08,14.1148
844,3.88473e-07,54.3479
848,100,1.0664
849,17.57,-4.89861
851,3.03763e-07,96.6396
858,375.994,160.932
861,120,36.9877
875,166.67,78.2715
888,300,57.3979
891,800,719.108
894,320,141.93
896,-3.6,-8.22146
913,566.67,593.543
916,300,-2.34102
917,40,8.09535
926,472,3.26417
927,60,-8.16
930,300,-99.6467
972,2000,744.397
974,120,32.7199
976,1.11371e-06,36.0194
978,4.82508e-08,-2.98988
983,666.67,-86.0279
984,533.33,16.38
991,2.04193e-07,15.0347
992,4.22369e-06,25.9692
993,-182.53,17.8485
1001,120,55.0198
1002,3.00405e-07,89.55
1004,5.34388e-07,43.99
1021,-239.07,53.897
1029,200,47.9753
1030,100,58.7748
1036,100,-1.17422
1043,900,387.88
1050,252.05,4.56125
1082,400,167.337
1083,1.23059e-06,53.0334
1088,45.99,-3.65946
1093,1200,-3.60015
1097,3.70825e-07,6.16922
1098,66.67,-31.24
1100,80,0.240147
1102,-165.54,38.0359
1103,266.67,-112.66
1117,288,-257.484
1119,100,-0.692037
1121,100.845,-62.8098
1122,4.23439e-07,4.89169
1125,240,-34.7398
1131,900,115.17
1138,1000,-84.98
1139,240,107.89
1145,37.71,-144.24
1173,-166.27,1.84916
1174,4.30457e-08,2.72496
1175,700,68.2027
1176,4.46,17.7516
1184,2.10725e-07,-67.55
1220,180,84.0699
1225,290.43,9.60106
1237,666.67,244.381
1241,2.84992e-07,-20.9792
1243,100,3.78624
1244,63.79,1.24274
1251,1200,-0.79561
