bus_id,Vm,Va_deg
39875,1.08396,-25.9876
39876,1.06747,-16.1508
39877,1.08461,-27.3597
39878,1.07098,-30.1568
39879,1.0845,-26.9278
39880,1.07077,-27.601
39881,1.07518,-28.504
39882,1.08271,-23.8059
39883,1.07745,-20.9551
39884,1.07819,-26.8689
39885,1.08206,-19.6459
39886,1.07285,-22.5919
39887,1.07057,-27.856
39888,1.0815,-25.9108
39889,1.07602,-27.1466
39890,1.06857,-16.2016
39891,1.07665,-27.0994
39892,1.07043,-25.3627
39893,1.08933,-26.4152
39894,1.0558,-23.2273
39895,1.08656,-24.8563
39896,1.05746,-25.5558
39897,1.06638,-21.5298
39898,1.07695,-30.1336
39899,1.07396,-26.8054
39900,1.07137,-24.7302
39901,1.07473,-29.3958
39902,1.06443,-25.8168
39903,1.06134,-24.4041
39904,1.07259,-29.2095
39905,1.07304,-29.3722
39906,1.08013,-25.5763
39907,1.08089,-26.0316
39908,1.08096,-24.6061
39909,1.08349,-26.9633
39910,1.08012,-30.9714
39911,1.0571,-31.0296
39912,1.08401,-28.803
39913,1.06441,-29.2589
39914,1.08443,-27.3659
39915,1.083,-19.313
39916,1.06651,-30.2674
39917,1.05835,-25.6863
39918,1.05352,-27.791
39919,1.08832,-26.3719
39920,1.07715,-15.485
39921,1.0729,-26.6671
39922,1.07389,-28.6119
39923,1.06292,-25.818
39924,1.07514,-26.9475
39925,1.08325,-23.6436
39926,1.08513,-30.9297
39927,1.08443,-27.365
39928,1.07474,-26.5579
39929,1.08109,-30.6836
39930,1.07424,-29.6376
39931,1.06553,-29.1351
39932,1.07291,-29.1858
39933,1.08384,-32.1122
39934,1.09105,-26.6123
39935,1.0677,-30.5149
39936,1.09096,-26.7777
39937,1.07975,-25.9029
39938,1.07614,-27.1531
39939,1.07316,-28.3721
39940,1.07311,-29.704
39941,1.0616,-26.3595
39942,1.09151,-30.3321
39943,1.07597,-29.4005
39944,1.07335,-29.5952
39945,1.05319,-23.7779
39946,1.06847,-28.4483
39947,1.05728,-29.8924
39948,1.05562,-31.1881
39949,1.05879,-27.0118
39950,1.09087,-24.3011
39951,1.08957,-28.0959
39952,1.07172,-28.4538
39953,1.08603,-26.354
39954,1.08078,-32.6873
39955,1.08761,-23.6355
39956,1.07157,-17.6982
39957,1.08676,-27.4649
39958,1.08412,-26.1724
39959,1.07203,-21.3802
39960,1.08938,-28.2997
39961,1.05882,-14.4022
39962,1.09525,-3.02854
39963,1.0842,-9.66907
39964,1.08366,-19.6509
39965,1.07937,-20.5341
39966,1.07939,-12.3045
39967,1.07382,-36.2293
39968,1.08956,-28.3213
39969,1.08217,-35.2625
39970,1.09536,-24.2449
39971,1.07556,-35.3666
39972,1.09901,1.53172
39973,1.0816,-30.0815
39974,1.08248,-26.6002
39975,1.08749,-23.9114
39976,1.08246,-35.3407
39977,1.07499,-20.5514
39978,1.09074,-28.3329
39979,1.08495,-31.1644
39980,1.09566,1.11241
39981,1.08927,-26.8438
39982,1.07501,-8.67819
39983,1.05896,-35.6384
39984,1.05901,-35.6255
39985,1.06312,-37.0702
39986,1.07085,-25.6844
39987,1.07084,-15.9645
39988,1.07702,-21.7177
39989,1.08994,-19.9647
39990,1.07441,-8.33471
39991,1.07835,-34.4158
39992,1.06729,-7.55012
39993,1.07566,-16.3115
39994,1.07858,-13.8847
39995,1.08862,-23.436
39996,1.08035,-29.7087
39997,1.07121,-34.9022
39998,1.07492,-20.1236
39999,1.0673,-16.3492
40000,1.08808,-33.4344
40001,1.09311,-30.4878
40002,1.0741,-30.392
40003,1.07687,-14.1059
40004,1.08187,-24.8501
40005,1.1,-13.9924
40006,1.07336,-27.8081
40007,1.07172,-26.3444
40008,1.0839,-7.22093
40009,1.08083,-32.969
40010,1.08385,-24.4797
40011,1.0715,-17.7203
40012,1.07816,-13.6337
40013,1.09486,-9.64229
40014,1.0832,-33.1812
40015,1.1,1.73339
40016,1.07054,-26.5188
40017,1.07013,-36.9408
40018,1.07743,-30.2709
40019,1.08705,-23.5875
40020,1.0737,-22.8783
40021,1.07832,-16.9944
40022,1.08558,-3.18942
40023,1.0776,-34.6894
40024,1.07709,-29.4785
40025,1.08851,-26.9636
40026,1.0745,-25.97
40027,1.0852,-3.90398
40028,1.07024,-17.8373
40029,1.06322,-21.1723
40030,1.0761,-25.9341
40031,1.0721,-34.4968
40032,1.05386,-37.9979
40033,1.06338,-17.0868
40034,1.05977,-18.9373
40035,1.07447,-27.7185
40036,1.05967,-15.1107
40037,1.06994,-36.5426
40038,1.07763,-21.692
40039,1.07451,-34.5923
40040,1.05535,-22.617
40041,1.04698,-34.9327
40042,1.04797,-35.7406
