case,status,obj,iters,nb,ng,nl,data_ms,init_ms,solve_ms,total_ms
pglib_opf_case30000_goc,Solved,1142331.68244393,131,30000,3526,35393,82,47,22755,22885
pglib_opf_case8387_pegase,Acceptable,2771391.7455875,288,8387,1865,14561,0.044,0.023,24.389,24.457
pglib_opf_case30000_goc,Solved,1142331.68244393,131,30000,3526,35393,0.067,0.043,21.975,22.085
pglib_opf_case9591_goc,Solved,1061683.55325641,42,9591,365,15915,0.025,0.020,3.898,3.944
pglib_opf_case30000_goc,Solved,1142331.68244393,131,30000,3526,35393,0.065,0.046,21.827,21.940
pglib_opf_case1354_ieee,Solved,1258843.98497629,34,1354,260,1991,0.006,0.003,0.280,0.290
pglib_opf_case2000_ieee,Solved,1228892.07379745,30,2000,544,3206,0.045,0.004,0.560,0.610
pglib_opf_case13659_pegase,Solved,8948048.91531711,71,13659,4092,20467,0.042,0.026,7.373,7.443
pglib_opf_case4020_goc,Solved,822247.284034579,37,4020,352,6988,0.012,0.012,1.891,1.917
pglib_opf_case10000_goc,Solved,1354031.31471514,165,10000,2089,13193,0.039,0.018,11.208,11.267
pglib_opf_case9241_pegase,Solved,6243090.38302337,141,9241,1445,16049,0.031,0.021,10.831,10.883
pglib_opf_case3120sp_k,Solved,2147969.07467501,49,3120,505,3693,0.008,0.008,0.779,0.796
pglib_opf_case2746wop_k,MaxIter,1156776.19370409,500,2746,432,3309,0.003,0.007,24.521,24.532
pglib_opf_case7336_epigrids,Solved,1882390.22089804,38,7336,686,11521,0.023,0.015,2.167,2.205
pglib_opf_case3022_goc,Solved,601383.842698844,43,3022,637,4135,0.009,0.008,0.741,0.760
pglib_opf_case5658_epigrids,Solved,1207313.7798002,37,5658,474,9078,0.017,0.014,1.723,1.754
pglib_opf_case300_ieee,Solved,565219.971833082,21,300,69,411,0.001,0.001,0.046,0.048
pglib_opf_case118_ieee,Solved,97213.6069252589,18,118,54,186,0.001,0.000,0.023,0.025
pglib_opf_case8387_pegase,Acceptable,2771391.7455875,288,8387,1865,14561,0.034,0.019,25.744,25.798
pglib_opf_case118_ieee,BadOption,nan,-1,118,54,186,0.000,0.001,0.000,0.003
pglib_opf_case6468_rte,BadOption,nan,-1,6468,1295,9000,0.020,0.014,0.000,0.035
pglib_opf_case14_ieee,BadOption,nan,-1,14,5,20,0.001,0.000,0.000,0.002
pglib_opf_case30000_goc,Solved,1142331.68244393,131,30000,3526,35393,0.077,0.044,22.618,22.741
pglib_opf_case4661_sdet,Solved,2251344.06500916,44,4661,1176,5997,0.015,0.008,1.741,1.765
pglib_opf_case1354_ieee,Solved,1258843.98497629,34,1354,260,1991,0.005,0.004,0.293,0.303
pglib_opf_case30000_goc:ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.078,0.042,21.736,21.857
pglib_opf_case14_ieee:ipopt,Solved,2178.08041052792,12,14,5,20,0.000,0.000,0.006,0.007
pglib_opf_case2000_ieee:knitro,KnitroNotBuilt,nan,-1,2000,544,3206,0.040,0.003,0.000,0.043
pglib_opf_case30000_goc:ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.068,0.047,23.538,23.655
pglib_opf_case30000_goc:ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.072,0.044,24.495,24.612
pglib_opf_case30000_goc:ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.065,0.044,21.954,22.065
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.086,0.046,0.000,0.133
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.064,0.043,0.001,0.110
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.081,0.044,0.002,0.128
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.063,0.044,0.001,0.110
pglib_opf_case14_ieee,knitro,KN_new_fail,nan,-1,14,5,20,0.000,0.000,0.001,0.002
pglib_opf_case14_ieee,knitro,KN_new_fail,nan,-1,14,5,20,0.000,0.000,0.001,0.002
pglib_opf_case1354_ieee,knitro,KN_new_fail,nan,-1,1354,260,1991,0.008,0.004,0.002,0.015
pglib_opf_case1354_ieee,knitro,KN_new_fail,nan,-1,1354,260,1991,0.005,0.002,0.001,0.009
pglib_opf_case1354_ieee,knitro,KN_new_fail,nan,-1,1354,260,1991,0.006,0.004,0.001,0.013
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.076,0.040,0.002,0.119
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.062,0.043,0.000,0.107
pglib_opf_case1354_ieee,knitro,KN_new_fail,nan,-1,1354,260,1991,0.008,0.004,0.002,0.015
pglib_opf_case30000_goc,knitro,KN_new_fail,nan,-1,30000,3526,35393,0.075,0.040,0.000,0.116
pglib_opf_case30000_goc,knitro,Solved,1142331.61086787,-1,30000,3526,35393,0.067,0.044,30.794,30.906
pglib_opf_case30000_goc:ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.067,0.044,22.729,22.840
pglib_opf_case1354_ieee,knitro,Solved,1258843.99628422,-1,1354,260,1991,0.005,0.003,0.149,0.157
pglib_opf_case2000_ieee,knitro,Solved,1228892.07551818,-1,2000,544,3206,0.042,0.003,0.264,0.310
pglib_opf_case300_ieee,ipopt,Solved,565219.971833081,21,300,69,411,0.002,0.004,0.128,0.135
pglib_opf_case118_ieee,ipopt,Solved,97213.6069252588,18,118,54,186,0.001,0.002,0.055,0.060
pglib_opf_case118_ieee,ipopt,Solved,97213.6069252588,18,118,54,186,0.000,0.002,0.051,0.054
pglib_opf_case300_ieee,knitro,CB_grad_fail,nan,-1,300,69,411,0.001,0.001,0.003,0.006
pglib_opf_case300_ieee,knitro,CB_grad_fail,nan,-1,300,69,411,0.001,0.000,0.003,0.004
pglib_opf_case300_ieee:ipopt,Solved,565219.971833082,21,300,69,411,0.000,0.000,0.053,0.054
pglib_opf_case30000_goc,ipopt,Solved,1142331.68244393,131,30000,3526,35393,0.074,0.043,22.699,22.817
pglib_opf_case30000_goc,knitro,Solved,1142331.61086787,-1,30000,3526,35393,0.065,0.046,30.646,30.757
pglib_opf_case13659_pegase,ipopt,Solved,8948048.91531712,71,13659,4092,20467,0.038,0.026,7.795,7.861
pglib_opf_case13659_pegase,knitro,Solved,8948047.7134103,-1,13659,4092,20467,0.038,0.026,5.734,5.799
